Ncache,Chunck,NN,Time,Error,Prob
100,10,2962,194.752,0.0046137406,1
200,10,2962,191.747,0.0046137406,1
300,10,2962,190.243,0.0046137406,1
400,10,2962,184.278,0.0046137406,1
500,10,2962,197.634,0.0046137406,1
600,10,2962,182.662,0.0046137406,1
700,10,2962,187.842,0.0046137406,1
800,10,2962,290.436,0.0046137406,1
900,10,2962,176.302,0.0046137406,1
1000,10,2962,170.062,0.0046137406,1
1100,10,2962,168.93,0.0046137406,1
1200,10,2962,175.139,0.0046137406,1
1300,10,2962,182.899,0.0046137406,1
1400,10,2962,181.088,0.0046137406,1
1500,10,2962,181.621,0.0046137406,1
1600,10,2962,165.689,0.0046137406,1
1700,10,2962,166.628,0.0046137406,1
1800,10,2962,165.711,0.0046137406,1
1900,10,2962,165.893,0.0046137406,1
2000,10,2962,166.522,0.0046137406,1
2100,10,2962,164.238,0.0046137406,1
2200,10,2962,172.244,0.0046137406,1
2300,10,2962,173.965,0.0046137406,1
2400,10,2962,167.056,0.0046137406,1
2500,10,2962,166.874,0.0046137406,1
2600,10,2962,166.667,0.0046137406,1
2700,10,2962,166.054,0.0046137406,1
2800,10,2962,177.064,0.0046137406,1
2900,10,2962,163.958,0.0046137406,1
3000,10,2962,166.004,0.0046137406,1
3100,10,2962,168.977,0.0046137406,1
3200,10,2962,165.381,0.0046137406,1
3300,10,2962,177.789,0.0046137406,1
3400,10,2962,178.932,0.0046137406,1
3500,10,2962,264.258,0.0046137406,1
3600,10,2962,164.684,0.0046137406,1
3700,10,2962,164.842,0.0046137406,1
3800,10,2962,166.526,0.0046137406,1
3900,10,2962,164.75,0.0046137406,1
4000,10,2962,165.769,0.0046137406,1
4100,10,2962,179.936,0.0046137406,1
4200,10,2962,167.355,0.0046137406,1
4300,10,2962,166.073,0.0046137406,1
4400,10,2962,169.083,0.0046137406,1
4500,10,2962,197.53,0.0046137406,1
4600,10,2962,166.26,0.0046137406,1
4700,10,2962,175.215,0.0046137406,1
4800,10,2962,179.624,0.0046137406,1
4900,10,2962,167.455,0.0046137406,1
5000,10,2962,166.078,0.0046137406,1
5100,10,2962,162.982,0.0046137406,1
5200,10,2962,166.372,0.0046137406,1
5300,10,2962,167.11,0.0046137406,1
5400,10,2962,163.603,0.0046137406,1
5500,10,2962,178.65,0.0046137406,1
5600,10,2962,166.49,0.0046137406,1
5700,10,2962,167.5,0.0046137406,1
5800,10,2962,168.287,0.0046137406,1
5900,10,2962,166.619,0.0046137406,1
6000,10,2962,168.457,0.0046137406,1
6100,10,2962,163.852,0.0046137406,1
6200,10,2962,168.712,0.0046137406,1
6300,10,2962,181.139,0.0046137406,1
6400,10,2962,169.091,0.0046137406,1
6500,10,2962,169.04,0.0046137406,1
6600,10,2962,169.385,0.0046137406,1
6700,10,2962,168.235,0.0046137406,1
6800,10,2962,166.523,0.0046137406,1
6900,10,2962,166.946,0.0046137406,1
7000,10,2962,168.204,0.0046137406,1
7100,10,2962,195.262,0.0046137406,1
7200,10,2962,165.979,0.0046137406,1
7300,10,2962,168.778,0.0046137406,1
7400,10,2962,168.207,0.0046137406,1
7500,10,2962,262.238,0.0046137406,1
7600,10,2962,168.434,0.0046137406,1
7700,10,2962,164.71,0.0046137406,1
7800,10,2962,171.625,0.0046137406,1
7900,10,2962,163.864,0.0046137406,1
8000,10,2962,169.121,0.0046137406,1
8100,10,2962,180.031,0.0046137406,1
8200,10,2962,170.589,0.0046137406,1
8300,10,2962,169.948,0.0046137406,1
8400,10,2962,168.958,0.0046137406,1
8500,10,2962,185.629,0.0046137406,1
8600,10,2962,164.722,0.0046137406,1
8700,10,2962,165.416,0.0046137406,1
8800,10,2962,195.008,0.0046137406,1
8900,10,2962,169.038,0.0046137406,1
9000,10,2962,169.749,0.0046137406,1
9100,10,2962,207.618,0.0046137406,1
9200,10,2962,167.386,0.0046137406,1
9300,10,2962,169.782,0.0046137406,1
9400,10,2962,172.874,0.0046137406,1
9500,10,2962,169.673,0.0046137406,1
9600,10,2962,172.299,0.0046137406,1
9700,10,2962,170.547,0.0046137406,1
9800,10,2962,169.736,0.0046137406,1
9900,10,2962,173.285,0.0046137406,1
10000,10,2962,171.501,0.0046137406,1
10100,10,2962,170.948,0.0046137406,1
10200,10,2962,172.802,0.0046137406,1
10300,10,2962,174.895,0.0046137406,1
10400,10,2962,169.816,0.0046137406,1
10500,10,2962,178.176,0.0046137406,1
10600,10,2962,171.111,0.0046137406,1
10700,10,2962,173.427,0.0046137406,1
10800,10,2962,171.19,0.0046137406,1
10900,10,2962,170.233,0.0046137406,1
11000,10,2962,168.208,0.0046137406,1
11100,10,2962,171.44,0.0046137406,1
11200,10,2962,181.852,0.0046137406,1
11300,10,2962,171.705,0.0046137406,1
11400,10,2962,171.135,0.0046137406,1
11500,10,2962,170.859,0.0046137406,1
11600,10,2962,182.42,0.0046137406,1
11700,10,2962,174.048,0.0046137406,1
11800,10,2962,174.321,0.0046137406,1
11900,10,2962,189.577,0.0046137406,1
12000,10,2962,171.924,0.0046137406,1
12100,10,2962,193.593,0.0046137406,1
12200,10,2962,172.152,0.0046137406,1
12300,10,2962,175.815,0.0046137406,1
12400,10,2962,172.013,0.0046137406,1
12500,10,2962,187.251,0.0046137406,1
12600,10,2962,173.153,0.0046137406,1
12700,10,2962,189.031,0.0046137406,1
12800,10,2962,174.94,0.0046137406,1
12900,10,2962,172.841,0.0046137406,1
13000,10,2962,170.726,0.0046137406,1
13100,10,2962,172.638,0.0046137406,1
13200,10,2962,189.808,0.0046137406,1
13300,10,2962,172.556,0.0046137406,1
13400,10,2962,185.587,0.0046137406,1
13500,10,2962,172.546,0.0046137406,1
13600,10,2962,172.267,0.0046137406,1
13700,10,2962,173.715,0.0046137406,1
13800,10,2962,173.507,0.0046137406,1
13900,10,2962,185.766,0.0046137406,1
14000,10,2962,175.517,0.0046137406,1
14100,10,2962,174.51,0.0046137406,1
14200,10,2962,174.14,0.0046137406,1
14300,10,2962,174.212,0.0046137406,1
14400,10,2962,174.304,0.0046137406,1
14500,10,2962,173.739,0.0046137406,1
14600,10,2962,175.965,0.0046137406,1
14700,10,2962,174.866,0.0046137406,1
14800,10,2962,175.87,0.0046137406,1
14900,10,2962,173.902,0.0046137406,1
15000,10,2962,186.291,0.0046137406,1
