Ncache,Chunck,NN,Time,Error,Prob
100,40,2962,196.527,0.0046137406,1
200,40,2962,201.502,0.0046137406,1
300,40,2962,185.097,0.0046137406,1
400,40,2962,185.164,0.0046137406,1
500,40,2962,249.898,0.0046137406,1
600,40,2962,184.246,0.0046137406,1
700,40,2962,180.495,0.0046137406,1
800,40,2962,177.601,0.0046137406,1
900,40,2962,191.691,0.0046137406,1
1000,40,2962,183.389,0.0046137406,1
1100,40,2962,180.533,0.0046137406,1
1200,40,2962,170.064,0.0046137406,1
1300,40,2962,167.358,0.0046137406,1
1400,40,2962,174.949,0.0046137406,1
1500,40,2962,167.11,0.0046137406,1
1600,40,2962,171.281,0.0046137406,1
1700,40,2962,183.984,0.0046137406,1
1800,40,2962,247.443,0.0046137406,1
1900,40,2962,166.883,0.0046137406,1
2000,40,2962,167.402,0.0046137406,1
2100,40,2962,281.784,0.0046137406,1
2200,40,2962,166.454,0.0046137406,1
2300,40,2962,167.555,0.0046137406,1
2400,40,2962,275.752,0.0046137406,1
2500,40,2962,163.586,0.0046137406,1
2600,40,2962,166.154,0.0046137406,1
2700,40,2962,262.349,0.0046137406,1
2800,40,2962,182.756,0.0046137406,1
2900,40,2962,162.461,0.0046137406,1
3000,40,2962,168.772,0.0046137406,1
3100,40,2962,164.405,0.0046137406,1
3200,40,2962,163.593,0.0046137406,1
3300,40,2962,165.567,0.0046137406,1
3400,40,2962,165.911,0.0046137406,1
3500,40,2962,165.594,0.0046137406,1
3600,40,2962,178.205,0.0046137406,1
3700,40,2962,160.874,0.0046137406,1
3800,40,2962,167.696,0.0046137406,1
3900,40,2962,165.044,0.0046137406,1
4000,40,2962,165.967,0.0046137406,1
4100,40,2962,256.609,0.0046137406,1
4200,40,2962,166.627,0.0046137406,1
4300,40,2962,166.493,0.0046137406,1
4400,40,2962,167.803,0.0046137406,1
4500,40,2962,280.013,0.0046137406,1
4600,40,2962,180.34,0.0046137406,1
4700,40,2962,171.155,0.0046137406,1
4800,40,2962,168.719,0.0046137406,1
4900,40,2962,165.004,0.0046137406,1
5000,40,2962,165.9,0.0046137406,1
5100,40,2962,164.767,0.0046137406,1
5200,40,2962,166.609,0.0046137406,1
5300,40,2962,166.344,0.0046137406,1
5400,40,2962,163.657,0.0046137406,1
5500,40,2962,189.024,0.0046137406,1
5600,40,2962,164.838,0.0046137406,1
5700,40,2962,247.711,0.0046137406,1
5800,40,2962,168.245,0.0046137406,1
5900,40,2962,179.372,0.0046137406,1
6000,40,2962,168.766,0.0046137406,1
6100,40,2962,191.629,0.0046137406,1
6200,40,2962,172.268,0.0046137406,1
6300,40,2962,167.115,0.0046137406,1
6400,40,2962,170.223,0.0046137406,1
6500,40,2962,176.356,0.0046137406,1
6600,40,2962,168.723,0.0046137406,1
6700,40,2962,209.744,0.0046137406,1
6800,40,2962,168.721,0.0046137406,1
6900,40,2962,169.255,0.0046137406,1
7000,40,2962,168.388,0.0046137406,1
7100,40,2962,168.251,0.0046137406,1
7200,40,2962,167.926,0.0046137406,1
7300,40,2962,180.688,0.0046137406,1
7400,40,2962,180.54,0.0046137406,1
7500,40,2962,175.427,0.0046137406,1
7600,40,2962,167.494,0.0046137406,1
7700,40,2962,169.508,0.0046137406,1
7800,40,2962,166.711,0.0046137406,1
7900,40,2962,167.493,0.0046137406,1
8000,40,2962,169.038,0.0046137406,1
8100,40,2962,171.128,0.0046137406,1
8200,40,2962,168.791,0.0046137406,1
8300,40,2962,169.817,0.0046137406,1
8400,40,2962,280.03,0.0046137406,1
8500,40,2962,168.808,0.0046137406,1
8600,40,2962,164.655,0.0046137406,1
8700,40,2962,165.179,0.0046137406,1
8800,40,2962,275.045,0.0046137406,1
8900,40,2962,169.917,0.0046137406,1
9000,40,2962,169.336,0.0046137406,1
9100,40,2962,184.699,0.0046137406,1
9200,40,2962,166.385,0.0046137406,1
9300,40,2962,183.936,0.0046137406,1
9400,40,2962,181.195,0.0046137406,1
9500,40,2962,171.423,0.0046137406,1
9600,40,2962,170.57,0.0046137406,1
9700,40,2962,174.069,0.0046137406,1
9800,40,2962,169.307,0.0046137406,1
9900,40,2962,172.56,0.0046137406,1
10000,40,2962,171.873,0.0046137406,1
10100,40,2962,170.183,0.0046137406,1
10200,40,2962,167.002,0.0046137406,1
10300,40,2962,188.298,0.0046137406,1
10400,40,2962,178.103,0.0046137406,1
10500,40,2962,169.891,0.0046137406,1
10600,40,2962,182.862,0.0046137406,1
10700,40,2962,167.108,0.0046137406,1
10800,40,2962,171.454,0.0046137406,1
10900,40,2962,171.807,0.0046137406,1
11000,40,2962,171.492,0.0046137406,1
11100,40,2962,175.747,0.0046137406,1
11200,40,2962,171.059,0.0046137406,1
11300,40,2962,172.144,0.0046137406,1
11400,40,2962,266.155,0.0046137406,1
11500,40,2962,172.316,0.0046137406,1
11600,40,2962,184.44,0.0046137406,1
11700,40,2962,168.224,0.0046137406,1
11800,40,2962,196.363,0.0046137406,1
11900,40,2962,171.348,0.0046137406,1
12000,40,2962,179.789,0.0046137406,1
12100,40,2962,190.374,0.0046137406,1
12200,40,2962,170.85,0.0046137406,1
12300,40,2962,171.74,0.0046137406,1
12400,40,2962,171.849,0.0046137406,1
12500,40,2962,181.681,0.0046137406,1
12600,40,2962,172.957,0.0046137406,1
12700,40,2962,170.718,0.0046137406,1
12800,40,2962,172.955,0.0046137406,1
12900,40,2962,172.498,0.0046137406,1
13000,40,2962,172.801,0.0046137406,1
13100,40,2962,173.117,0.0046137406,1
13200,40,2962,172.707,0.0046137406,1
13300,40,2962,189.928,0.0046137406,1
13400,40,2962,173.428,0.0046137406,1
13500,40,2962,290.535,0.0046137406,1
13600,40,2962,181.848,0.0046137406,1
13700,40,2962,172,0.0046137406,1
13800,40,2962,173.859,0.0046137406,1
13900,40,2962,173.502,0.0046137406,1
14000,40,2962,173.984,0.0046137406,1
14100,40,2962,173.671,0.0046137406,1
14200,40,2962,208.766,0.0046137406,1
14300,40,2962,173.097,0.0046137406,1
14400,40,2962,173.758,0.0046137406,1
