Ncache,Chunck,NN,Time,Error,Prob
100,30,2962,197.807,0.0046137406,1
200,30,2962,203.259,0.0046137406,1
300,30,2962,185.378,0.0046137406,1
400,30,2962,185.168,0.0046137406,1
500,30,2962,207.291,0.0046137406,1
600,30,2962,183.731,0.0046137406,1
700,30,2962,177.67,0.0046137406,1
800,30,2962,203.693,0.0046137406,1
900,30,2962,175.755,0.0046137406,1
1000,30,2962,172.089,0.0046137406,1
1100,30,2962,172.369,0.0046137406,1
1200,30,2962,180.675,0.0046137406,1
1300,30,2962,163.669,0.0046137406,1
1400,30,2962,168.662,0.0046137406,1
1500,30,2962,165.07,0.0046137406,1
1600,30,2962,168.966,0.0046137406,1
1700,30,2962,167.41,0.0046137406,1
1800,30,2962,199.452,0.0046137406,1
1900,30,2962,169.758,0.0046137406,1
2000,30,2962,167.678,0.0046137406,1
2100,30,2962,167.525,0.0046137406,1
2200,30,2962,167.053,0.0046137406,1
2300,30,2962,166.487,0.0046137406,1
2400,30,2962,168.255,0.0046137406,1
2500,30,2962,167.959,0.0046137406,1
2600,30,2962,165.226,0.0046137406,1
2700,30,2962,174.536,0.0046137406,1
2800,30,2962,172.944,0.0046137406,1
2900,30,2962,168.401,0.0046137406,1
3000,30,2962,182.785,0.0046137406,1
3100,30,2962,164.809,0.0046137406,1
3200,30,2962,166.295,0.0046137406,1
3300,30,2962,165.614,0.0046137406,1
3400,30,2962,166.261,0.0046137406,1
3500,30,2962,177.352,0.0046137406,1
3600,30,2962,164.932,0.0046137406,1
3700,30,2962,169.508,0.0046137406,1
3800,30,2962,166.349,0.0046137406,1
3900,30,2962,164.49,0.0046137406,1
4000,30,2962,179.633,0.0046137406,1
4100,30,2962,167.142,0.0046137406,1
4200,30,2962,167.607,0.0046137406,1
4300,30,2962,167.655,0.0046137406,1
4400,30,2962,167.326,0.0046137406,1
4500,30,2962,167.049,0.0046137406,1
4600,30,2962,179.148,0.0046137406,1
4700,30,2962,166.137,0.0046137406,1
4800,30,2962,273.161,0.0046137406,1
4900,30,2962,167.535,0.0046137406,1
5000,30,2962,165.789,0.0046137406,1
5100,30,2962,254.539,0.0046137406,1
5200,30,2962,167.817,0.0046137406,1
