Ncache,Chunck,NN,Time,Error,Prob
100,20,2962,195.912,0.0046137406,1
200,20,2962,297.778,0.0046137406,1
300,20,2962,183.758,0.0046137406,1
400,20,2962,193.685,0.0046137406,1
500,20,2962,195.432,0.0046137406,1
600,20,2962,180.508,0.0046137406,1
700,20,2962,181.026,0.0046137406,1
800,20,2962,178.833,0.0046137406,1
900,20,2962,174.478,0.0046137406,1
1000,20,2962,166.297,0.0046137406,1
1100,20,2962,187.013,0.0046137406,1
1200,20,2962,176.855,0.0046137406,1
1300,20,2962,167.831,0.0046137406,1
1400,20,2962,168.991,0.0046137406,1
1500,20,2962,166.597,0.0046137406,1
1600,20,2962,169.076,0.0046137406,1
1700,20,2962,168.64,0.0046137406,1
1800,20,2962,191.951,0.0046137406,1
1900,20,2962,181.615,0.0046137406,1
2000,20,2962,166.508,0.0046137406,1
2100,20,2962,167.428,0.0046137406,1
2200,20,2962,181.5,0.0046137406,1
2300,20,2962,165.389,0.0046137406,1
2400,20,2962,173.714,0.0046137406,1
2500,20,2962,169.708,0.0046137406,1
2600,20,2962,165.312,0.0046137406,1
2700,20,2962,165.231,0.0046137406,1
2800,20,2962,259.779,0.0046137406,1
2900,20,2962,166.608,0.0046137406,1
3000,20,2962,167.325,0.0046137406,1
3100,20,2962,164.609,0.0046137406,1
3200,20,2962,164.315,0.0046137406,1
3300,20,2962,164.688,0.0046137406,1
3400,20,2962,166.368,0.0046137406,1
3500,20,2962,164.79,0.0046137406,1
3600,20,2962,166.876,0.0046137406,1
3700,20,2962,166.387,0.0046137406,1
3800,20,2962,179.03,0.0046137406,1
3900,20,2962,165.27,0.0046137406,1
4000,20,2962,165.728,0.0046137406,1
4100,20,2962,180.137,0.0046137406,1
4200,20,2962,188.581,0.0046137406,1
4300,20,2962,166.907,0.0046137406,1
4400,20,2962,181.347,0.0046137406,1
4500,20,2962,162.456,0.0046137406,1
4600,20,2962,182.275,0.0046137406,1
4700,20,2962,167.821,0.0046137406,1
4800,20,2962,166.381,0.0046137406,1
4900,20,2962,167.15,0.0046137406,1
5000,20,2962,179.159,0.0046137406,1
5100,20,2962,173.128,0.0046137406,1
5200,20,2962,166.196,0.0046137406,1
5300,20,2962,166.935,0.0046137406,1
5400,20,2962,180.591,0.0046137406,1
5500,20,2962,250.322,0.0046137406,1
5600,20,2962,167.901,0.0046137406,1
5700,20,2962,167.323,0.0046137406,1
5800,20,2962,180.471,0.0046137406,1
5900,20,2962,174.558,0.0046137406,1
6000,20,2962,167.01,0.0046137406,1
6100,20,2962,167.368,0.0046137406,1
6200,20,2962,169.781,0.0046137406,1
6300,20,2962,179.689,0.0046137406,1
6400,20,2962,191.412,0.0046137406,1
6500,20,2962,175.455,0.0046137406,1
6600,20,2962,169.052,0.0046137406,1
6700,20,2962,165.136,0.0046137406,1
6800,20,2962,166.331,0.0046137406,1
6900,20,2962,167.771,0.0046137406,1
7000,20,2962,170.256,0.0046137406,1
7100,20,2962,178.55,0.0046137406,1
7200,20,2962,167.652,0.0046137406,1
7300,20,2962,169.08,0.0046137406,1
7400,20,2962,168.479,0.0046137406,1
7500,20,2962,168.461,0.0046137406,1
7600,20,2962,169.032,0.0046137406,1
7700,20,2962,167.868,0.0046137406,1
7800,20,2962,171.996,0.0046137406,1
7900,20,2962,168.424,0.0046137406,1
8000,20,2962,168.814,0.0046137406,1
8100,20,2962,188.825,0.0046137406,1
8200,20,2962,169.907,0.0046137406,1
8300,20,2962,169.866,0.0046137406,1
8400,20,2962,168.778,0.0046137406,1
8500,20,2962,167.365,0.0046137406,1
8600,20,2962,168.661,0.0046137406,1
8700,20,2962,170.606,0.0046137406,1
8800,20,2962,170.109,0.0046137406,1
8900,20,2962,165.4,0.0046137406,1
9000,20,2962,171.186,0.0046137406,1
9100,20,2962,170.437,0.0046137406,1
9200,20,2962,185.748,0.0046137406,1
9300,20,2962,169.989,0.0046137406,1
9400,20,2962,168.462,0.0046137406,1
9500,20,2962,167.82,0.0046137406,1
9600,20,2962,169.983,0.0046137406,1
9700,20,2962,249.732,0.0046137406,1
9800,20,2962,174.169,0.0046137406,1
9900,20,2962,165.928,0.0046137406,1
10000,20,2962,169.527,0.0046137406,1
10100,20,2962,170.549,0.0046137406,1
10200,20,2962,171.957,0.0046137406,1
10300,20,2962,184.686,0.0046137406,1
10400,20,2962,229.575,0.0046137406,1
10500,20,2962,172.195,0.0046137406,1
10600,20,2962,170.84,0.0046137406,1
10700,20,2962,173.216,0.0046137406,1
10800,20,2962,183.761,0.0046137406,1
10900,20,2962,170.929,0.0046137406,1
11000,20,2962,169.262,0.0046137406,1
11100,20,2962,267.938,0.0046137406,1
11200,20,2962,172.896,0.0046137406,1
11300,20,2962,172.523,0.0046137406,1
11400,20,2962,173.861,0.0046137406,1
11500,20,2962,171.062,0.0046137406,1
11600,20,2962,177.777,0.0046137406,1
11700,20,2962,172.256,0.0046137406,1
11800,20,2962,267.925,0.0046137406,1
11900,20,2962,171.234,0.0046137406,1
12000,20,2962,172.219,0.0046137406,1
