Nvec,Chunck,NN,Time,Error,Prob
8,40,2962,1172.77,0.0046137439,1
16,40,2962,1179.92,0.0046137439,1
24,40,2962,957.916,0.0046137439,1
32,40,2962,974.113,0.0046137439,1
40,40,2962,1213.84,0.0046137439,1
48,40,2962,1039.14,0.0046137439,1
56,40,2962,1317.51,0.0046137439,1
64,40,2962,1432.53,0.0046137439,1
72,40,2962,944.698,0.0046137439,1
80,40,2962,1143.87,0.0046137439,1
88,40,2962,1034.65,0.0046137439,1
96,40,2962,1015.73,0.0046137439,1
104,40,2962,1154.56,0.0046137439,1
112,40,2962,1101.03,0.0046137439,1
120,40,2962,1163.27,0.0046137439,1
128,40,2962,1220.95,0.0046137439,1
136,40,2962,1275.19,0.0046137439,1
144,40,2962,1272.79,0.0046137439,1
152,40,2962,1202.43,0.0046137439,1
160,40,2962,1380.44,0.0046137439,1
168,40,2962,1279.69,0.0046137439,1
176,40,2962,1181.23,0.0046137439,1
184,40,2962,1477.55,0.0046137439,1
192,40,2962,1248.36,0.0046137439,1
200,40,2962,1713.66,0.0046137439,1
208,40,2962,1288.6,0.0046137439,1
216,40,2962,1314.9,0.0046137439,1
224,40,2962,1535.31,0.0046137439,1
232,40,2962,1483.84,0.0046137439,1
240,40,2962,1320.55,0.0046137439,1
248,40,2962,1397.71,0.0046137439,1
256,40,2962,1292.31,0.0046137439,1
264,40,2962,1540.46,0.0046137439,1
272,40,2962,1489.73,0.0046137439,1
280,40,2962,1341.15,0.0046137439,1
288,40,2962,1398.99,0.0046137439,1
296,40,2962,1570.47,0.0046137439,1
304,40,2962,1503.56,0.0046137439,1
312,40,2962,1421.24,0.0046137439,1
320,40,2962,1566.42,0.0046137439,1
328,40,2962,1537.95,0.0046137439,1
336,40,2962,1530.41,0.0046137439,1
344,40,2962,1472.3,0.0046137439,1
352,40,2962,1990.98,0.0046137439,1
360,40,2962,1838.46,0.0046137439,1
368,40,2962,1759.3,0.0046137439,1
376,40,2962,1521.24,0.0046137439,1
384,40,2962,1715.59,0.0046137439,1
392,40,2962,1627.86,0.0046137439,1
400,40,2962,1439.35,0.0046137439,1
408,40,2962,1499.18,0.0046137439,1
416,40,2962,1793.65,0.0046137439,1
424,40,2962,1874.65,0.0046137439,1
432,40,2962,1854.05,0.0046137439,1
440,40,2962,1619.26,0.0046137439,1
448,40,2962,1652.97,0.0046137439,1
456,40,2962,1741.4,0.0046137439,1
464,40,2962,1892.94,0.0046137439,1
472,40,2962,1938.96,0.0046137439,1
480,40,2962,1606.33,0.0046137439,1
488,40,2962,1759.49,0.0046137439,1
496,40,2962,1644.75,0.0046137439,1
504,40,2962,1668.51,0.0046137439,1
512,40,2962,1668.62,0.0046137439,1
520,40,2962,1735.64,0.0046137439,1
528,40,2962,1993.98,0.0046137439,1
536,40,2962,1921.72,0.0046137439,1
544,40,2962,1805.92,0.0046137439,1
552,40,2962,1852.26,0.0046137439,1
560,40,2962,1976.26,0.0046137439,1
568,40,2962,1807.01,0.0046137439,1
576,40,2962,2063.05,0.0046137439,1
584,40,2962,1977.85,0.0046137439,1
592,40,2962,1808.83,0.0046137439,1
600,40,2962,1862.86,0.0046137439,1
608,40,2962,2007.85,0.0046137439,1
616,40,2962,2369.8,0.0046137439,1
624,40,2962,2073.21,0.0046137439,1
632,40,2962,1891.88,0.0046137439,1
640,40,2962,2027.66,0.0046137439,1
648,40,2962,2187.86,0.0046137439,1
656,40,2962,2124.51,0.0046137439,1
664,40,2962,2265.28,0.0046137439,1
672,40,2962,2083.22,0.0046137439,1
680,40,2962,2084.96,0.0046137439,1
688,40,2962,2098.14,0.0046137439,1
696,40,2962,2159.4,0.0046137439,1
704,40,2962,2256.09,0.0046137439,1
712,40,2962,2062.87,0.0046137439,1
720,40,2962,2053.97,0.0046137439,1
728,40,2962,2070.88,0.0046137439,1
736,40,2962,2521.38,0.0046137439,1
744,40,2962,2045.9,0.0046137439,1
752,40,2962,2334.83,0.0046137439,1
760,40,2962,2186.79,0.0046137439,1
768,40,2962,2678.4,0.0046137439,1
776,40,2962,2165.89,0.0046137439,1
784,40,2962,2226.07,0.0046137439,1
792,40,2962,2416.08,0.0046137439,1
800,40,2962,2457.85,0.0046137439,1
808,40,2962,2312.58,0.0046137439,1
816,40,2962,2225.09,0.0046137439,1
824,40,2962,2231.93,0.0046137439,1
832,40,2962,2472.76,0.0046137439,1
840,40,2962,2800.95,0.0046137439,1
848,40,2962,2285.34,0.0046137439,1
856,40,2962,2277.39,0.0046137439,1
864,40,2962,2262.15,0.0046137439,1
872,40,2962,2368.07,0.0046137439,1
880,40,2962,2385.13,0.0046137439,1
888,40,2962,2335.44,0.0046137439,1
896,40,2962,2391.08,0.0046137439,1
904,40,2962,2333.28,0.0046137439,1
912,40,2962,2260.68,0.0046137439,1
920,40,2962,2407.31,0.0046137439,1
928,40,2962,2497.12,0.0046137439,1
936,40,2962,2470.21,0.0046137439,1
944,40,2962,2462.03,0.0046137439,1
952,40,2962,2452.47,0.0046137439,1
960,40,2962,2505.94,0.0046137439,1
968,40,2962,2527.12,0.0046137439,1
976,40,2962,2567.12,0.0046137439,1
984,40,2962,2464.31,0.0046137439,1
992,40,2962,2583.11,0.0046137439,1
1000,40,2962,2557.62,0.0046137439,1
1008,40,2962,2575.46,0.0046137439,1
1016,40,2962,2564.27,0.0046137439,1
1024,40,2962,2817.02,0.0046137439,1
1032,40,2962,2630.36,0.0046137439,1
1040,40,2962,2673.96,0.0046137439,1
1048,40,2962,2568.24,0.0046137439,1
1056,40,2962,2677.57,0.0046137439,1
1064,40,2962,2708.18,0.0046137439,1
1072,40,2962,2721.18,0.0046137439,1
1080,40,2962,2696.55,0.0046137439,1
1088,40,2962,2702.78,0.0046137439,1
1096,40,2962,2722.98,0.0046137439,1
1104,40,2962,2656.94,0.0046137439,1
1112,40,2962,2842.93,0.0046137439,1
1120,40,2962,3010.14,0.0046137439,1
1128,40,2962,2749.12,0.0046137439,1
1136,40,2962,2847.76,0.0046137439,1
1144,40,2962,2838.68,0.0046137439,1
1152,40,2962,2890.49,0.0046137439,1
1160,40,2962,2826.24,0.0046137439,1
1168,40,2962,2831.11,0.0046137439,1
1176,40,2962,2944.32,0.0046137439,1
1184,40,2962,2924.04,0.0046137439,1
1192,40,2962,2917.59,0.0046137439,1
1200,40,2962,2931.28,0.0046137439,1
1208,40,2962,2914.72,0.0046137439,1
1216,40,2962,2980.68,0.0046137439,1
1224,40,2962,2957.84,0.0046137439,1
1232,40,2962,2972.18,0.0046137439,1
1240,40,2962,3048.13,0.0046137439,1
1248,40,2962,3051.46,0.0046137439,1
1256,40,2962,3001.85,0.0046137439,1
1264,40,2962,3050.49,0.0046137439,1
1272,40,2962,3050.53,0.0046137439,1
1280,40,2962,3062.21,0.0046137439,1
1288,40,2962,3203.72,0.0046137439,1
1296,40,2962,3111.03,0.0046137439,1
1304,40,2962,3151.63,0.0046137439,1
1312,40,2962,3202.37,0.0046137439,1
1320,40,2962,3172.48,0.0046137439,1
1328,40,2962,3177.62,0.0046137439,1
1336,40,2962,3188.84,0.0046137439,1
1344,40,2962,3201.2,0.0046137439,1
1352,40,2962,3215.14,0.0046137439,1
1360,40,2962,3183.26,0.0046137439,1
1368,40,2962,3283.15,0.0046137439,1
1376,40,2962,3232.49,0.0046137439,1
1384,40,2962,3290.43,0.0046137439,1
1392,40,2962,3270.29,0.0046137439,1
1400,40,2962,3270.85,0.0046137439,1
1408,40,2962,3352.09,0.0046137439,1
1416,40,2962,3417.42,0.0046137439,1
1424,40,2962,3417.04,0.0046137439,1
1432,40,2962,3364.45,0.0046137439,1
1440,40,2962,3387.87,0.0046137439,1
1448,40,2962,3428.34,0.0046137439,1
1456,40,2962,3458.59,0.0046137439,1
1464,40,2962,3434.24,0.0046137439,1
1472,40,2962,3575.47,0.0046137439,1
1480,40,2962,3458.29,0.0046137439,1
1488,40,2962,3495.27,0.0046137439,1
1496,40,2962,3478.86,0.0046137439,1
1504,40,2962,3513.76,0.0046137439,1
1512,40,2962,3654.34,0.0046137439,1
1520,40,2962,3469.86,0.0046137439,1
1528,40,2962,3665.14,0.0046137439,1
1536,40,2962,3569.62,0.0046137439,1
1544,40,2962,3558.83,0.0046137439,1
1552,40,2962,3592.93,0.0046137439,1
1560,40,2962,3963.93,0.0046137439,1
1568,40,2962,3710.2,0.0046137439,1
1576,40,2962,3700.1,0.0046137439,1
1584,40,2962,3639.78,0.0046137439,1
1592,40,2962,3718.31,0.0046137439,1
1600,40,2962,3712.03,0.0046137439,1
1608,40,2962,3718.82,0.0046137439,1
1616,40,2962,3937.42,0.0046137439,1
1624,40,2962,3704.07,0.0046137439,1
1632,40,2962,3740.21,0.0046137439,1
1640,40,2962,3859.48,0.0046137439,1
1648,40,2962,3776.39,0.0046137439,1
1656,40,2962,3823.36,0.0046137439,1
1664,40,2962,3862.32,0.0046137439,1
1672,40,2962,3838.57,0.0046137439,1
1680,40,2962,3919.41,0.0046137439,1
1688,40,2962,3837.49,0.0046137439,1
1696,40,2962,3861.84,0.0046137439,1
1704,40,2962,3839.86,0.0046137439,1
1712,40,2962,3927.91,0.0046137439,1
