Nvec,Chunck,NN,Time,Error,Prob
8,50,2962,169.226,0.0046137406,1
16,50,2962,174.681,0.0046137406,1
24,50,2962,176.343,0.0046137406,1
32,50,2962,174.93,0.0046137406,1
40,50,2962,187.407,0.0046137406,1
48,50,2962,192.11,0.0046137406,1
56,50,2962,178.937,0.0046137406,1
64,50,2962,189.56,0.0046137406,1
72,50,2962,279.589,0.0046137406,1
80,50,2962,225.401,0.0046137406,1
88,50,2962,173.658,0.0046137406,1
96,50,2962,188.847,0.0046137406,1
104,50,2962,204.602,0.0046137406,1
112,50,2962,219.924,0.0046137406,1
120,50,2962,234.762,0.0046137406,1
128,50,2962,244.409,0.0046137406,1
136,50,2962,264.868,0.0046137406,1
144,50,2962,273.528,0.0046137406,1
152,50,2962,292.877,0.0046137406,1
160,50,2962,228.526,0.0046137406,1
168,50,2962,165.637,0.0046137406,1
176,50,2962,169.835,0.0046137406,1
184,50,2962,178.219,0.0046137406,1
192,50,2962,187.85,0.0046137406,1
200,50,2962,195.235,0.0046137406,1
208,50,2962,203.079,0.0046137406,1
216,50,2962,211.216,0.0046137406,1
224,50,2962,213.543,0.0046137406,1
232,50,2962,225.33,0.0046137406,1
240,50,2962,232.374,0.0046137406,1
248,50,2962,240.883,0.0046137406,1
256,50,2962,246.366,0.0046137406,1
264,50,2962,254.084,0.0046137406,1
272,50,2962,267.688,0.0046137406,1
280,50,2962,269.802,0.0046137406,1
288,50,2962,277.569,0.0046137406,1
296,50,2962,284.122,0.0046137406,1
304,50,2962,294.743,0.0046137406,1
312,50,2962,300.36,0.0046137406,1
320,50,2962,307.651,0.0046137406,1
328,50,2962,314.374,0.0046137406,1
336,50,2962,348.104,0.0046137406,1
344,50,2962,444.907,0.0046137406,1
352,50,2962,335.101,0.0046137406,1
360,50,2962,347.222,0.0046137406,1
368,50,2962,352.868,0.0046137406,1
376,50,2962,356.102,0.0046137406,1
384,50,2962,366.944,0.0046137406,1
392,50,2962,378.092,0.0046137406,1
400,50,2962,379.031,0.0046137406,1
408,50,2962,391.954,0.0046137406,1
416,50,2962,397.503,0.0046137406,1
424,50,2962,407.452,0.0046137406,1
432,50,2962,409.693,0.0046137406,1
440,50,2962,417.16,0.0046137406,1
448,50,2962,424.822,0.0046137406,1
456,50,2962,434.961,0.0046137406,1
464,50,2962,443.994,0.0046137406,1
472,50,2962,484.636,0.0046137406,1
480,50,2962,456.895,0.0046137406,1
488,50,2962,474.24,0.0046137406,1
496,50,2962,474.237,0.0046137406,1
504,50,2962,477.72,0.0046137406,1
512,50,2962,492.838,0.0046137406,1
520,50,2962,495.767,0.0046137406,1
528,50,2962,503.715,0.0046137406,1
536,50,2962,509.188,0.0046137406,1
544,50,2962,529.238,0.0046137406,1
552,50,2962,571.508,0.0046137406,1
560,50,2962,536.547,0.0046137406,1
568,50,2962,540.244,0.0046137406,1
576,50,2962,546.021,0.0046137406,1
584,50,2962,754.399,0.0046137406,1
592,50,2962,565.176,0.0046137406,1
600,50,2962,567.571,0.0046137406,1
608,50,2962,578.727,0.0046137406,1
616,50,2962,583.221,0.0046137406,1
624,50,2962,593.582,0.0046137406,1
632,50,2962,600.842,0.0046137406,1
640,50,2962,609.181,0.0046137406,1
648,50,2962,620.425,0.0046137406,1
656,50,2962,625.724,0.0046137406,1
664,50,2962,628.744,0.0046137406,1
672,50,2962,638.332,0.0046137406,1
680,50,2962,645.933,0.0046137406,1
688,50,2962,652.324,0.0046137406,1
696,50,2962,665.444,0.0046137406,1
704,50,2962,665.857,0.0046137406,1
712,50,2962,673.089,0.0046137406,1
720,50,2962,683.127,0.0046137406,1
728,50,2962,690,0.0046137406,1
736,50,2962,701.045,0.0046137406,1
744,50,2962,705.657,0.0046137406,1
