Nvec,Chunck,NN,Time,Error,Prob
8,20,2962,1243.29,0.0046137439,1
16,20,2962,1200.03,0.0046137439,1
24,20,2962,1122.2,0.0046137439,1
32,20,2962,1172.3,0.0046137439,1
40,20,2962,961.682,0.0046137439,1
48,20,2962,1130.92,0.0046137439,1
56,20,2962,1372.61,0.0046137439,1
64,20,2962,1389.62,0.0046137439,1
72,20,2962,980.104,0.0046137439,1
80,20,2962,1011.67,0.0046137439,1
88,20,2962,996.397,0.0046137439,1
96,20,2962,1168.2,0.0046137439,1
104,20,2962,1059.28,0.0046137439,1
112,20,2962,1199.62,0.0046137439,1
120,20,2962,1243.64,0.0046137439,1
128,20,2962,1002.52,0.0046137439,1
136,20,2962,996.724,0.0046137439,1
144,20,2962,1156.65,0.0046137439,1
152,20,2962,984.533,0.0046137439,1
160,20,2962,1122,0.0046137439,1
168,20,2962,1161.2,0.0046137439,1
176,20,2962,944.275,0.0046137439,1
184,20,2962,1054.72,0.0046137439,1
192,20,2962,1037.72,0.0046137439,1
200,20,2962,1043.29,0.0046137439,1
208,20,2962,1187.34,0.0046137439,1
216,20,2962,994.956,0.0046137439,1
224,20,2962,1008.15,0.0046137439,1
232,20,2962,1352.67,0.0046137439,1
240,20,2962,1229.23,0.0046137439,1
248,20,2962,1370.93,0.0046137439,1
256,20,2962,1129.16,0.0046137439,1
264,20,2962,1204.38,0.0046137439,1
272,20,2962,1271.84,0.0046137439,1
280,20,2962,1171.84,0.0046137439,1
288,20,2962,1244.54,0.0046137439,1
296,20,2962,1292.68,0.0046137439,1
304,20,2962,1130.22,0.0046137439,1
312,20,2962,1297.38,0.0046137439,1
320,20,2962,1308.39,0.0046137439,1
328,20,2962,1385,0.0046137439,1
336,20,2962,1196.22,0.0046137439,1
344,20,2962,1399.16,0.0046137439,1
352,20,2962,1159.98,0.0046137439,1
360,20,2962,1386.81,0.0046137439,1
368,20,2962,1373.11,0.0046137439,1
376,20,2962,1303.21,0.0046137439,1
384,20,2962,1343.63,0.0046137439,1
392,20,2962,1260.89,0.0046137439,1
400,20,2962,1377.59,0.0046137439,1
408,20,2962,1435.54,0.0046137439,1
416,20,2962,1219.54,0.0046137439,1
424,20,2962,1091.6,0.0046137439,1
432,20,2962,1601.38,0.0046137439,1
440,20,2962,1136.28,0.0046137439,1
448,20,2962,1245.32,0.0046137439,1
456,20,2962,1721.71,0.0046137439,1
464,20,2962,1327.85,0.0046137439,1
472,20,2962,1306.99,0.0046137439,1
480,20,2962,1312.7,0.0046137439,1
488,20,2962,1219.33,0.0046137439,1
496,20,2962,1324.85,0.0046137439,1
504,20,2962,1836.87,0.0046137439,1
512,20,2962,1465.9,0.0046137439,1
520,20,2962,1487.78,0.0046137439,1
528,20,2962,1231.4,0.0046137439,1
536,20,2962,1290.63,0.0046137439,1
544,20,2962,1461.04,0.0046137439,1
552,20,2962,1380.58,0.0046137439,1
560,20,2962,1276.93,0.0046137439,1
568,20,2962,2060.32,0.0046137439,1
576,20,2962,1551.82,0.0046137439,1
584,20,2962,1246.68,0.0046137439,1
592,20,2962,1371.28,0.0046137439,1
600,20,2962,1301.02,0.0046137439,1
608,20,2962,1446.73,0.0046137439,1
616,20,2962,1359.73,0.0046137439,1
624,20,2962,1351.73,0.0046137439,1
632,20,2962,1325.26,0.0046137439,1
640,20,2962,1393.76,0.0046137439,1
648,20,2962,1482.22,0.0046137439,1
656,20,2962,1342.28,0.0046137439,1
664,20,2962,1462.8,0.0046137439,1
672,20,2962,1681.12,0.0046137439,1
680,20,2962,1419.27,0.0046137439,1
688,20,2962,1435.59,0.0046137439,1
696,20,2962,1404.36,0.0046137439,1
704,20,2962,1518.21,0.0046137439,1
712,20,2962,1426.5,0.0046137439,1
720,20,2962,1580.06,0.0046137439,1
728,20,2962,1485.23,0.0046137439,1
736,20,2962,1434.3,0.0046137439,1
744,20,2962,1392.96,0.0046137439,1
752,20,2962,1429.84,0.0046137439,1
