Ncache,Chunck,NN,Time,Error,Prob
100,100,2962,196.661,0.0046137406,1
200,100,2962,188.311,0.0046137406,1
300,100,2962,181.589,0.0046137406,1
400,100,2962,194.58,0.0046137406,1
500,100,2962,194.649,0.0046137406,1
600,100,2962,181.61,0.0046137406,1
700,100,2962,181.526,0.0046137406,1
800,100,2962,176.107,0.0046137406,1
900,100,2962,178.77,0.0046137406,1
1000,100,2962,166.874,0.0046137406,1
1100,100,2962,211.185,0.0046137406,1
1200,100,2962,171.128,0.0046137406,1
1300,100,2962,166.627,0.0046137406,1
1400,100,2962,168.974,0.0046137406,1
1500,100,2962,168.685,0.0046137406,1
1600,100,2962,178.787,0.0046137406,1
1700,100,2962,280.689,0.0046137406,1
1800,100,2962,166.303,0.0046137406,1
1900,100,2962,166.86,0.0046137406,1
2000,100,2962,180.709,0.0046137406,1
2100,100,2962,167.744,0.0046137406,1
2200,100,2962,167.382,0.0046137406,1
2300,100,2962,164.565,0.0046137406,1
2400,100,2962,207.347,0.0046137406,1
2500,100,2962,163.902,0.0046137406,1
2600,100,2962,167.845,0.0046137406,1
2700,100,2962,163.85,0.0046137406,1
2800,100,2962,165.166,0.0046137406,1
2900,100,2962,169.903,0.0046137406,1
3000,100,2962,170.464,0.0046137406,1
3100,100,2962,164.069,0.0046137406,1
3200,100,2962,164.497,0.0046137406,1
3300,100,2962,180.522,0.0046137406,1
3400,100,2962,176.408,0.0046137406,1
3500,100,2962,165.399,0.0046137406,1
3600,100,2962,165.433,0.0046137406,1
3700,100,2962,167.636,0.0046137406,1
3800,100,2962,165.104,0.0046137406,1
3900,100,2962,169.081,0.0046137406,1
4000,100,2962,179.597,0.0046137406,1
4100,100,2962,245.057,0.0046137406,1
4200,100,2962,168.209,0.0046137406,1
4300,100,2962,167.065,0.0046137406,1
4400,100,2962,167.12,0.0046137406,1
4500,100,2962,166.177,0.0046137406,1
4600,100,2962,165.051,0.0046137406,1
4700,100,2962,163.465,0.0046137406,1
4800,100,2962,167.532,0.0046137406,1
4900,100,2962,166.093,0.0046137406,1
5000,100,2962,178.894,0.0046137406,1
5100,100,2962,202.439,0.0046137406,1
5200,100,2962,167.439,0.0046137406,1
5300,100,2962,167.038,0.0046137406,1
5400,100,2962,165.324,0.0046137406,1
5500,100,2962,170.86,0.0046137406,1
5600,100,2962,168.1,0.0046137406,1
5700,100,2962,270.802,0.0046137406,1
5800,100,2962,179.588,0.0046137406,1
5900,100,2962,167.799,0.0046137406,1
6000,100,2962,163.649,0.0046137406,1
6100,100,2962,182.888,0.0046137406,1
6200,100,2962,181.155,0.0046137406,1
6300,100,2962,262.149,0.0046137406,1
6400,100,2962,170.665,0.0046137406,1
6500,100,2962,168.469,0.0046137406,1
6600,100,2962,167.773,0.0046137406,1
6700,100,2962,167.751,0.0046137406,1
6800,100,2962,166.477,0.0046137406,1
6900,100,2962,166.978,0.0046137406,1
7000,100,2962,181.761,0.0046137406,1
