Nvec,Chunck,NN,Time,Error,Prob
8,50,2962,1119.09,0.0046137439,1
16,50,2962,1192.01,0.0046137439,1
24,50,2962,1282.57,0.0046137439,1
32,50,2962,1221.93,0.0046137439,1
40,50,2962,1040.83,0.0046137439,1
48,50,2962,1114.58,0.0046137439,1
56,50,2962,1305.59,0.0046137439,1
64,50,2962,1320.5,0.0046137439,1
72,50,2962,1151.47,0.0046137439,1
80,50,2962,1058.33,0.0046137439,1
88,50,2962,1081.86,0.0046137439,1
96,50,2962,1075.87,0.0046137439,1
104,50,2962,1335.67,0.0046137439,1
112,50,2962,1170.8,0.0046137439,1
120,50,2962,1100.2,0.0046137439,1
128,50,2962,1247.73,0.0046137439,1
136,50,2962,1391.33,0.0046137439,1
144,50,2962,1178.55,0.0046137439,1
152,50,2962,1438.07,0.0046137439,1
160,50,2962,1236.16,0.0046137439,1
168,50,2962,1245.62,0.0046137439,1
176,50,2962,1429.68,0.0046137439,1
184,50,2962,1285.87,0.0046137439,1
192,50,2962,1412.35,0.0046137439,1
200,50,2962,1420.86,0.0046137439,1
208,50,2962,1363.88,0.0046137439,1
216,50,2962,1485.43,0.0046137439,1
224,50,2962,1658.67,0.0046137439,1
232,50,2962,1367.63,0.0046137439,1
240,50,2962,1504.38,0.0046137439,1
248,50,2962,1761.16,0.0046137439,1
256,50,2962,1584.06,0.0046137439,1
264,50,2962,1412.68,0.0046137439,1
272,50,2962,1463.17,0.0046137439,1
280,50,2962,1683.38,0.0046137439,1
288,50,2962,1674.48,0.0046137439,1
296,50,2962,1706.44,0.0046137439,1
304,50,2962,1731.17,0.0046137439,1
312,50,2962,1583.26,0.0046137439,1
320,50,2962,1566.34,0.0046137439,1
328,50,2962,1620.76,0.0046137439,1
336,50,2962,1552.23,0.0046137439,1
344,50,2962,1812.33,0.0046137439,1
352,50,2962,1808.36,0.0046137439,1
360,50,2962,1673.18,0.0046137439,1
368,50,2962,1663.43,0.0046137439,1
376,50,2962,1780.93,0.0046137439,1
384,50,2962,1956.39,0.0046137439,1
392,50,2962,1732.55,0.0046137439,1
400,50,2962,1907.28,0.0046137439,1
408,50,2962,1976.48,0.0046137439,1
416,50,2962,1867.39,0.0046137439,1
424,50,2962,1884.24,0.0046137439,1
432,50,2962,1886.91,0.0046137439,1
440,50,2962,1755.1,0.0046137439,1
448,50,2962,2000.81,0.0046137439,1
456,50,2962,1844.33,0.0046137439,1
464,50,2962,1796.13,0.0046137439,1
472,50,2962,1839.24,0.0046137439,1
480,50,2962,1867.12,0.0046137439,1
488,50,2962,1874.5,0.0046137439,1
496,50,2962,1971.01,0.0046137439,1
504,50,2962,2078.22,0.0046137439,1
512,50,2962,1926.69,0.0046137439,1
520,50,2962,1987.1,0.0046137439,1
528,50,2962,2010.16,0.0046137439,1
536,50,2962,2014.07,0.0046137439,1
544,50,2962,2047.57,0.0046137439,1
552,50,2962,2089.49,0.0046137439,1
560,50,2962,2169.74,0.0046137439,1
568,50,2962,2014.78,0.0046137439,1
576,50,2962,2214.29,0.0046137439,1
584,50,2962,2079.37,0.0046137439,1
592,50,2962,2378.03,0.0046137439,1
600,50,2962,2117,0.0046137439,1
608,50,2962,2179.41,0.0046137439,1
616,50,2962,2179.1,0.0046137439,1
624,50,2962,2166.72,0.0046137439,1
632,50,2962,2346.81,0.0046137439,1
640,50,2962,2319.91,0.0046137439,1
648,50,2962,2426.92,0.0046137439,1
656,50,2962,2546.46,0.0046137439,1
664,50,2962,2368.48,0.0046137439,1
672,50,2962,2383.64,0.0046137439,1
680,50,2962,2279.93,0.0046137439,1
688,50,2962,2502.04,0.0046137439,1
696,50,2962,2445.1,0.0046137439,1
704,50,2962,2355.74,0.0046137439,1
712,50,2962,2623.59,0.0046137439,1
720,50,2962,2473.36,0.0046137439,1
728,50,2962,2397.74,0.0046137439,1
736,50,2962,2449.92,0.0046137439,1
744,50,2962,2485.26,0.0046137439,1
752,50,2962,2502.56,0.0046137439,1
760,50,2962,2373.98,0.0046137439,1
768,50,2962,2599.05,0.0046137439,1
776,50,2962,2554.57,0.0046137439,1
784,50,2962,2933.32,0.0046137439,1
792,50,2962,2556.66,0.0046137439,1
800,50,2962,2698.39,0.0046137439,1
808,50,2962,2662.45,0.0046137439,1
816,50,2962,2603.67,0.0046137439,1
824,50,2962,2614.63,0.0046137439,1
832,50,2962,2676.45,0.0046137439,1
840,50,2962,2758.53,0.0046137439,1
848,50,2962,2664.86,0.0046137439,1
856,50,2962,2940.09,0.0046137439,1
864,50,2962,2694.17,0.0046137439,1
872,50,2962,2712.06,0.0046137439,1
880,50,2962,2870.61,0.0046137439,1
888,50,2962,2744.22,0.0046137439,1
896,50,2962,2872.5,0.0046137439,1
904,50,2962,2927.34,0.0046137439,1
912,50,2962,2870.48,0.0046137439,1
920,50,2962,2848.01,0.0046137439,1
928,50,2962,2844.58,0.0046137439,1
936,50,2962,2854.14,0.0046137439,1
944,50,2962,2860.31,0.0046137439,1
952,50,2962,2939.89,0.0046137439,1
960,50,2962,2918.92,0.0046137439,1
968,50,2962,2929.23,0.0046137439,1
976,50,2962,2929.08,0.0046137439,1
984,50,2962,3024.69,0.0046137439,1
992,50,2962,2997.86,0.0046137439,1
1000,50,2962,3040.1,0.0046137439,1
1008,50,2962,3016.59,0.0046137439,1
1016,50,2962,3065.2,0.0046137439,1
1024,50,2962,3097.67,0.0046137439,1
1032,50,2962,3141.45,0.0046137439,1
1040,50,2962,3089.35,0.0046137439,1
1048,50,2962,3426.07,0.0046137439,1
1056,50,2962,3155.57,0.0046137439,1
1064,50,2962,3173.04,0.0046137439,1
1072,50,2962,3820.02,0.0046137439,1
1080,50,2962,3226.62,0.0046137439,1
1088,50,2962,3267.58,0.0046137439,1
1096,50,2962,3235.57,0.0046137439,1
1104,50,2962,3218.15,0.0046137439,1
1112,50,2962,3286.14,0.0046137439,1
1120,50,2962,3263.23,0.0046137439,1
1128,50,2962,3301.46,0.0046137439,1
1136,50,2962,3346.77,0.0046137439,1
1144,50,2962,3346.56,0.0046137439,1
1152,50,2962,3418.23,0.0046137439,1
1160,50,2962,3443.77,0.0046137439,1
1168,50,2962,3423.47,0.0046137439,1
1176,50,2962,3437.11,0.0046137439,1
