Ncache,Chunck,NN,Time,Error,Prob
100,40,2962,2385.95,0.0046137439,1
200,40,2962,1808.72,0.0046137439,1
300,40,2962,1473.66,0.0046137439,1
400,40,2962,1369.62,0.0046137439,1
500,40,2962,1634.15,0.0046137439,1
600,40,2962,1255.93,0.0046137439,1
700,40,2962,1157.41,0.0046137439,1
800,40,2962,1446.34,0.0046137439,1
900,40,2962,1120.92,0.0046137439,1
1000,40,2962,1031.59,0.0046137439,1
1100,40,2962,1650.93,0.0046137439,1
1200,40,2962,1568.95,0.0046137439,1
1300,40,2962,1320.56,0.0046137439,1
1400,40,2962,1262.54,0.0046137439,1
1500,40,2962,1630.32,0.0046137439,1
1600,40,2962,1417.39,0.0046137439,1
1700,40,2962,1528.2,0.0046137439,1
1800,40,2962,1291.5,0.0046137439,1
1900,40,2962,1662.74,0.0046137439,1
2000,40,2962,1470.79,0.0046137439,1
2100,40,2962,1405.9,0.0046137439,1
2200,40,2962,1562.6,0.0046137439,1
2300,40,2962,1645.68,0.0046137439,1
2400,40,2962,1495.14,0.0046137439,1
2500,40,2962,1309.05,0.0046137439,1
2600,40,2962,1795.18,0.0046137439,1
2700,40,2962,1557.98,0.0046137439,1
2800,40,2962,2464.66,0.0046137439,1
2900,40,2962,1626.63,0.0046137439,1
3000,40,2962,2561.88,0.0046137439,1
3100,40,2962,2500.97,0.0046137439,1
3200,40,2962,2551.81,0.0046137439,1
3300,40,2962,2542.93,0.0046137439,1
3400,40,2962,2496.81,0.0046137439,1
3500,40,2962,2413.89,0.0046137439,1
3600,40,2962,2460.45,0.0046137439,1
3700,40,2962,2384.04,0.0046137439,1
3800,40,2962,2506.17,0.0046137439,1
3900,40,2962,2433.59,0.0046137439,1
4000,40,2962,2499.76,0.0046137439,1
4100,40,2962,2428.09,0.0046137439,1
4200,40,2962,2399.04,0.0046137439,1
4300,40,2962,2430.24,0.0046137439,1
4400,40,2962,2331.49,0.0046137439,1
4500,40,2962,2257.3,0.0046137439,1
4600,40,2962,2490.21,0.0046137439,1
4700,40,2962,2394.86,0.0046137439,1
4800,40,2962,2068.25,0.0046137439,1
4900,40,2962,2523.47,0.0046137439,1
5000,40,2962,2137.05,0.0046137439,1
5100,40,2962,2300.09,0.0046137439,1
5200,40,2962,1764.45,0.0046137439,1
5300,40,2962,2271.81,0.0046137439,1
