Nvec,Chunck,NN,Time,Error,Prob
8,100,2962,175.27,0.0046137406,1
16,100,2962,171.419,0.0046137406,1
24,100,2962,194.901,0.0046137406,1
32,100,2962,190.036,0.0046137406,1
40,100,2962,232.19,0.0046137406,1
48,100,2962,194.186,0.0046137406,1
56,100,2962,217.31,0.0046137406,1
64,100,2962,248.23,0.0046137406,1
72,100,2962,349.052,0.0046137406,1
80,100,2962,229.21,0.0046137406,1
88,100,2962,173.074,0.0046137406,1
96,100,2962,189.698,0.0046137406,1
104,100,2962,199.6,0.0046137406,1
112,100,2962,218.031,0.0046137406,1
120,100,2962,228.902,0.0046137406,1
128,100,2962,249.188,0.0046137406,1
136,100,2962,262.953,0.0046137406,1
144,100,2962,278.854,0.0046137406,1
152,100,2962,290.612,0.0046137406,1
160,100,2962,307.168,0.0046137406,1
168,100,2962,323.774,0.0046137406,1
176,100,2962,336.914,0.0046137406,1
184,100,2962,351.853,0.0046137406,1
192,100,2962,452.206,0.0046137406,1
200,100,2962,383.871,0.0046137406,1
208,100,2962,407.574,0.0046137406,1
216,100,2962,410.85,0.0046137406,1
224,100,2962,428.08,0.0046137406,1
232,100,2962,440.461,0.0046137406,1
240,100,2962,458.344,0.0046137406,1
248,100,2962,473.344,0.0046137406,1
256,100,2962,654.718,0.0046137406,1
264,100,2962,502.507,0.0046137406,1
272,100,2962,519.118,0.0046137406,1
280,100,2962,534.83,0.0046137406,1
288,100,2962,545.751,0.0046137406,1
296,100,2962,564.927,0.0046137406,1
304,100,2962,574.72,0.0046137406,1
312,100,2962,640.744,0.0046137406,1
320,100,2962,606.474,0.0046137406,1
328,100,2962,621.149,0.0046137406,1
336,100,2962,690.972,0.0046137406,1
344,100,2962,655.481,0.0046137406,1
352,100,2962,669.86,0.0046137406,1
360,100,2962,685.591,0.0046137406,1
368,100,2962,695.846,0.0046137406,1
376,100,2962,713.029,0.0046137406,1
384,100,2962,725.861,0.0046137406,1
392,100,2962,742.289,0.0046137406,1
400,100,2962,758.175,0.0046137406,1
408,100,2962,774.427,0.0046137406,1
416,100,2962,792.095,0.0046137406,1
424,100,2962,800.286,0.0046137406,1
432,100,2962,816.606,0.0046137406,1
440,100,2962,830.198,0.0046137406,1
448,100,2962,849.192,0.0046137406,1
456,100,2962,1170.43,0.0046137406,1
464,100,2962,879.633,0.0046137406,1
472,100,2962,896.086,0.0046137406,1
480,100,2962,914.096,0.0046137406,1
488,100,2962,926.043,0.0046137406,1
496,100,2962,936.734,0.0046137406,1
504,100,2962,955.828,0.0046137406,1
512,100,2962,970.109,0.0046137406,1
520,100,2962,986.979,0.0046137406,1
528,100,2962,1002.48,0.0046137406,1
536,100,2962,1102.58,0.0046137406,1
544,100,2962,1026.36,0.0046137406,1
552,100,2962,1044.48,0.0046137406,1
560,100,2962,1061.54,0.0046137406,1
568,100,2962,1072.11,0.0046137406,1
576,100,2962,1087.68,0.0046137406,1
584,100,2962,1220.99,0.0046137406,1
592,100,2962,1207.19,0.0046137406,1
600,100,2962,1220.88,0.0046137406,1
608,100,2962,1155.95,0.0046137406,1
616,100,2962,1165.5,0.0046137406,1
624,100,2962,1179.89,0.0046137406,1
632,100,2962,1193.63,0.0046137406,1
640,100,2962,1210.24,0.0046137406,1
648,100,2962,1224.99,0.0046137406,1
656,100,2962,1238.83,0.0046137406,1
664,100,2962,1255.93,0.0046137406,1
672,100,2962,1269.42,0.0046137406,1
680,100,2962,1287.34,0.0046137406,1
688,100,2962,1298.92,0.0046137406,1
696,100,2962,1313.32,0.0046137406,1
704,100,2962,1331.29,0.0046137406,1
712,100,2962,1344.95,0.0046137406,1
720,100,2962,1359.04,0.0046137406,1
728,100,2962,1373.91,0.0046137406,1
736,100,2962,1391.01,0.0046137406,1
744,100,2962,1409.19,0.0046137406,1
752,100,2962,1419.84,0.0046137406,1
760,100,2962,1435.15,0.0046137406,1
768,100,2962,1452.13,0.0046137406,1
776,100,2962,1470.05,0.0046137406,1
784,100,2962,1478.41,0.0046137406,1
792,100,2962,1497.71,0.0046137406,1
800,100,2962,1512.22,0.0046137406,1
808,100,2962,1525.32,0.0046137406,1
816,100,2962,1543.13,0.0046137406,1
824,100,2962,1556.78,0.0046137406,1
832,100,2962,1573.02,0.0046137406,1
840,100,2962,1589.9,0.0046137406,1
848,100,2962,1603.69,0.0046137406,1
