Ncache,Chunck,NN,Time,Error,Prob
100,80,2962,213.203,0.0046137406,1
200,80,2962,186.686,0.0046137406,1
300,80,2962,182.125,0.0046137406,1
400,80,2962,288.431,0.0046137406,1
500,80,2962,195.634,0.0046137406,1
600,80,2962,182.805,0.0046137406,1
700,80,2962,178.703,0.0046137406,1
800,80,2962,198.59,0.0046137406,1
900,80,2962,175.904,0.0046137406,1
1000,80,2962,171.897,0.0046137406,1
1100,80,2962,174.466,0.0046137406,1
1200,80,2962,172.303,0.0046137406,1
1300,80,2962,163.209,0.0046137406,1
1400,80,2962,190.265,0.0046137406,1
1500,80,2962,165.889,0.0046137406,1
1600,80,2962,171.626,0.0046137406,1
1700,80,2962,169.721,0.0046137406,1
1800,80,2962,178.13,0.0046137406,1
1900,80,2962,166.35,0.0046137406,1
2000,80,2962,169.965,0.0046137406,1
2100,80,2962,209.257,0.0046137406,1
2200,80,2962,169.068,0.0046137406,1
2300,80,2962,165.588,0.0046137406,1
2400,80,2962,285.233,0.0046137406,1
2500,80,2962,166.91,0.0046137406,1
2600,80,2962,165.721,0.0046137406,1
2700,80,2962,163.525,0.0046137406,1
2800,80,2962,173.172,0.0046137406,1
2900,80,2962,168.707,0.0046137406,1
3000,80,2962,228.924,0.0046137406,1
3100,80,2962,162.336,0.0046137406,1
3200,80,2962,175.777,0.0046137406,1
3300,80,2962,164.597,0.0046137406,1
3400,80,2962,166.737,0.0046137406,1
3500,80,2962,166.357,0.0046137406,1
3600,80,2962,177.606,0.0046137406,1
3700,80,2962,166.683,0.0046137406,1
3800,80,2962,178.61,0.0046137406,1
3900,80,2962,174.424,0.0046137406,1
4000,80,2962,169.207,0.0046137406,1
4100,80,2962,166.543,0.0046137406,1
4200,80,2962,166.411,0.0046137406,1
4300,80,2962,166.753,0.0046137406,1
4400,80,2962,207.699,0.0046137406,1
4500,80,2962,164.802,0.0046137406,1
4600,80,2962,167.463,0.0046137406,1
4700,80,2962,172.289,0.0046137406,1
4800,80,2962,167.477,0.0046137406,1
4900,80,2962,168.811,0.0046137406,1
5000,80,2962,170.624,0.0046137406,1
5100,80,2962,262.961,0.0046137406,1
5200,80,2962,166.422,0.0046137406,1
5300,80,2962,179.56,0.0046137406,1
5400,80,2962,177.908,0.0046137406,1
5500,80,2962,181.984,0.0046137406,1
5600,80,2962,174.748,0.0046137406,1
5700,80,2962,182.08,0.0046137406,1
5800,80,2962,166.169,0.0046137406,1
5900,80,2962,167.89,0.0046137406,1
6000,80,2962,168.867,0.0046137406,1
6100,80,2962,168.864,0.0046137406,1
6200,80,2962,168.526,0.0046137406,1
6300,80,2962,167.526,0.0046137406,1
6400,80,2962,168.839,0.0046137406,1
6500,80,2962,169.548,0.0046137406,1
6600,80,2962,167.241,0.0046137406,1
6700,80,2962,168.16,0.0046137406,1
6800,80,2962,164.799,0.0046137406,1
6900,80,2962,168.3,0.0046137406,1
7000,80,2962,169.63,0.0046137406,1
7100,80,2962,184.756,0.0046137406,1
7200,80,2962,167.676,0.0046137406,1
7300,80,2962,183.209,0.0046137406,1
7400,80,2962,177.538,0.0046137406,1
7500,80,2962,168.457,0.0046137406,1
7600,80,2962,168.571,0.0046137406,1
7700,80,2962,165.457,0.0046137406,1
7800,80,2962,204.695,0.0046137406,1
7900,80,2962,170.113,0.0046137406,1
8000,80,2962,169.013,0.0046137406,1
8100,80,2962,168.533,0.0046137406,1
8200,80,2962,182.328,0.0046137406,1
8300,80,2962,181.964,0.0046137406,1
8400,80,2962,254.992,0.0046137406,1
8500,80,2962,170.363,0.0046137406,1
8600,80,2962,170.061,0.0046137406,1
8700,80,2962,284.818,0.0046137406,1
8800,80,2962,166.533,0.0046137406,1
8900,80,2962,169.677,0.0046137406,1
9000,80,2962,173.184,0.0046137406,1
9100,80,2962,170.029,0.0046137406,1
9200,80,2962,169.783,0.0046137406,1
9300,80,2962,172.136,0.0046137406,1
9400,80,2962,177.413,0.0046137406,1
9500,80,2962,165.881,0.0046137406,1
9600,80,2962,165.609,0.0046137406,1
9700,80,2962,171.056,0.0046137406,1
9800,80,2962,173.472,0.0046137406,1
9900,80,2962,187.285,0.0046137406,1
10000,80,2962,171.179,0.0046137406,1
10100,80,2962,168.215,0.0046137406,1
10200,80,2962,171.493,0.0046137406,1
10300,80,2962,170.399,0.0046137406,1
10400,80,2962,185.793,0.0046137406,1
10500,80,2962,170.323,0.0046137406,1
10600,80,2962,170.016,0.0046137406,1
10700,80,2962,170.386,0.0046137406,1
10800,80,2962,169.761,0.0046137406,1
10900,80,2962,171.759,0.0046137406,1
11000,80,2962,170.517,0.0046137406,1
11100,80,2962,209.763,0.0046137406,1
11200,80,2962,171.263,0.0046137406,1
11300,80,2962,167.262,0.0046137406,1
11400,80,2962,170.938,0.0046137406,1
11500,80,2962,182.12,0.0046137406,1
11600,80,2962,181.349,0.0046137406,1
11700,80,2962,172.092,0.0046137406,1
11800,80,2962,172.386,0.0046137406,1
11900,80,2962,172.543,0.0046137406,1
12000,80,2962,172.607,0.0046137406,1
12100,80,2962,172.402,0.0046137406,1
12200,80,2962,171.867,0.0046137406,1
12300,80,2962,187.66,0.0046137406,1
12400,80,2962,176.168,0.0046137406,1
12500,80,2962,172.712,0.0046137406,1
12600,80,2962,172.804,0.0046137406,1
12700,80,2962,168.97,0.0046137406,1
12800,80,2962,172.356,0.0046137406,1
12900,80,2962,171.821,0.0046137406,1
13000,80,2962,172.692,0.0046137406,1
13100,80,2962,290.437,0.0046137406,1
13200,80,2962,171.639,0.0046137406,1
13300,80,2962,180.562,0.0046137406,1
13400,80,2962,173.247,0.0046137406,1
13500,80,2962,172.241,0.0046137406,1
13600,80,2962,173.08,0.0046137406,1
13700,80,2962,172.158,0.0046137406,1
13800,80,2962,173.405,0.0046137406,1
13900,80,2962,172.991,0.0046137406,1
14000,80,2962,172.967,0.0046137406,1
14100,80,2962,173.62,0.0046137406,1
14200,80,2962,172.48,0.0046137406,1
14300,80,2962,173.13,0.0046137406,1
14400,80,2962,174.86,0.0046137406,1
14500,80,2962,173.667,0.0046137406,1
14600,80,2962,174.153,0.0046137406,1
14700,80,2962,199.083,0.0046137406,1
14800,80,2962,179.389,0.0046137406,1
14900,80,2962,174.564,0.0046137406,1
15000,80,2962,173.242,0.0046137406,1
15100,80,2962,185.786,0.0046137406,1
15200,80,2962,173.415,0.0046137406,1
15300,80,2962,173.007,0.0046137406,1
15400,80,2962,174.816,0.0046137406,1
15500,80,2962,198.391,0.0046137406,1
15600,80,2962,174.129,0.0046137406,1
15700,80,2962,175.061,0.0046137406,1
15800,80,2962,174.605,0.0046137406,1
15900,80,2962,175.341,0.0046137406,1
16000,80,2962,175.731,0.0046137406,1
16100,80,2962,177.235,0.0046137406,1
16200,80,2962,175.354,0.0046137406,1
16300,80,2962,175.537,0.0046137406,1
16400,80,2962,175.025,0.0046137406,1
16500,80,2962,175.414,0.0046137406,1
16600,80,2962,173.54,0.0046137406,1
16700,80,2962,175.957,0.0046137406,1
16800,80,2962,175.186,0.0046137406,1
16900,80,2962,273.974,0.0046137406,1
17000,80,2962,175.475,0.0046137406,1
17100,80,2962,177.068,0.0046137406,1
17200,80,2962,175.486,0.0046137406,1
17300,80,2962,175.817,0.0046137406,1
17400,80,2962,176.801,0.0046137406,1
17500,80,2962,176.528,0.0046137406,1
17600,80,2962,175.828,0.0046137406,1
17700,80,2962,175.862,0.0046137406,1
17800,80,2962,175.584,0.0046137406,1
17900,80,2962,176.402,0.0046137406,1
18000,80,2962,183.645,0.0046137406,1
18100,80,2962,176.634,0.0046137406,1
18200,80,2962,191.779,0.0046137406,1
18300,80,2962,176.967,0.0046137406,1
18400,80,2962,176.361,0.0046137406,1
18500,80,2962,177.269,0.0046137406,1
18600,80,2962,177.382,0.0046137406,1
18700,80,2962,176.35,0.0046137406,1
18800,80,2962,178.072,0.0046137406,1
18900,80,2962,194.326,0.0046137406,1
19000,80,2962,177.876,0.0046137406,1
19100,80,2962,176.695,0.0046137406,1
19200,80,2962,177.789,0.0046137406,1
19300,80,2962,181.52,0.0046137406,1
19400,80,2962,177.815,0.0046137406,1
19500,80,2962,175.667,0.0046137406,1
19600,80,2962,179.066,0.0046137406,1
19700,80,2962,179.262,0.0046137406,1
19800,80,2962,178.243,0.0046137406,1
19900,80,2962,178.111,0.0046137406,1
20000,80,2962,285.376,0.0046137406,1
20100,80,2962,177.736,0.0046137406,1
20200,80,2962,177.631,0.0046137406,1
20300,80,2962,175.872,0.0046137406,1
20400,80,2962,178.389,0.0046137406,1
20500,80,2962,179.339,0.0046137406,1
20600,80,2962,178.707,0.0046137406,1
20700,80,2962,277.483,0.0046137406,1
20800,80,2962,178.928,0.0046137406,1
20900,80,2962,178.176,0.0046137406,1
21000,80,2962,178.235,0.0046137406,1
21100,80,2962,199.844,0.0046137406,1
21200,80,2962,178.946,0.0046137406,1
21300,80,2962,178.426,0.0046137406,1
21400,80,2962,180.014,0.0046137406,1
21500,80,2962,182.601,0.0046137406,1
21600,80,2962,179.872,0.0046137406,1
21700,80,2962,179.791,0.0046137406,1
21800,80,2962,178.269,0.0046137406,1
21900,80,2962,179.756,0.0046137406,1
22000,80,2962,191.858,0.0046137406,1
22100,80,2962,179.313,0.0046137406,1
22200,80,2962,178.515,0.0046137406,1
22300,80,2962,179.592,0.0046137406,1
22400,80,2962,178.835,0.0046137406,1
22500,80,2962,180.737,0.0046137406,1
22600,80,2962,179.758,0.0046137406,1
22700,80,2962,180.158,0.0046137406,1
22800,80,2962,183.767,0.0046137406,1
22900,80,2962,181.487,0.0046137406,1
23000,80,2962,180.114,0.0046137406,1
23100,80,2962,197.134,0.0046137406,1
23200,80,2962,181.132,0.0046137406,1
23300,80,2962,183.804,0.0046137406,1
