Ncache,Chunck,NN,Time,Error,Prob
100,20,2962,2392.82,0.0046137439,1
200,20,2962,1881.37,0.0046137439,1
300,20,2962,1640.45,0.0046137439,1
400,20,2962,1500.04,0.0046137439,1
500,20,2962,1285.08,0.0046137439,1
600,20,2962,1146.07,0.0046137439,1
700,20,2962,1396.54,0.0046137439,1
800,20,2962,1308.48,0.0046137439,1
900,20,2962,1116.77,0.0046137439,1
1000,20,2962,1337.61,0.0046137439,1
1100,20,2962,1032.81,0.0046137439,1
1200,20,2962,1425.52,0.0046137439,1
1300,20,2962,1379.19,0.0046137439,1
1400,20,2962,1526.41,0.0046137439,1
1500,20,2962,1473.38,0.0046137439,1
1600,20,2962,1364.04,0.0046137439,1
1700,20,2962,1327.3,0.0046137439,1
1800,20,2962,1219.95,0.0046137439,1
1900,20,2962,1290.85,0.0046137439,1
2000,20,2962,1406.08,0.0046137439,1
2100,20,2962,1172.23,0.0046137439,1
2200,20,2962,1506.48,0.0046137439,1
2300,20,2962,1247.97,0.0046137439,1
2400,20,2962,1383.23,0.0046137439,1
2500,20,2962,1762.9,0.0046137439,1
2600,20,2962,1154.33,0.0046137439,1
2700,20,2962,1780.37,0.0046137439,1
2800,20,2962,1464.93,0.0046137439,1
2900,20,2962,1713.59,0.0046137439,1
3000,20,2962,2527.55,0.0046137439,1
3100,20,2962,2915.7,0.0046137439,1
3200,20,2962,2631.34,0.0046137439,1
3300,20,2962,3016.42,0.0046137439,1
3400,20,2962,2870.42,0.0046137439,1
3500,20,2962,2495.09,0.0046137439,1
3600,20,2962,2622.38,0.0046137439,1
3700,20,2962,2521.6,0.0046137439,1
3800,20,2962,2418.3,0.0046137439,1
3900,20,2962,2637.01,0.0046137439,1
4000,20,2962,2386.84,0.0046137439,1
4100,20,2962,2550.84,0.0046137439,1
4200,20,2962,2877.03,0.0046137439,1
4300,20,2962,2506.45,0.0046137439,1
4400,20,2962,2385.76,0.0046137439,1
4500,20,2962,2447.55,0.0046137439,1
4600,20,2962,2431.97,0.0046137439,1
4700,20,2962,2348.7,0.0046137439,1
4800,20,2962,2513.07,0.0046137439,1
4900,20,2962,1941.39,0.0046137439,1
