Nvec,Chunck,NN,Time,Error,Prob
8,10,2962,163.848,0.0046137406,1
16,10,2962,164.929,0.0046137406,1
24,10,2962,168.63,0.0046137406,1
32,10,2962,171.548,0.0046137406,1
40,10,2962,168.001,0.0046137406,1
48,10,2962,169.958,0.0046137406,1
56,10,2962,164.106,0.0046137406,1
64,10,2962,164.946,0.0046137406,1
72,10,2962,225.184,0.0046137406,1
80,10,2962,172.004,0.0046137406,1
88,10,2962,177.244,0.0046137406,1
96,10,2962,165.567,0.0046137406,1
104,10,2962,183.456,0.0046137406,1
112,10,2962,169.439,0.0046137406,1
120,10,2962,175.922,0.0046137406,1
128,10,2962,176.993,0.0046137406,1
136,10,2962,179.432,0.0046137406,1
144,10,2962,181.081,0.0046137406,1
152,10,2962,172.495,0.0046137406,1
160,10,2962,169.378,0.0046137406,1
168,10,2962,167.795,0.0046137406,1
176,10,2962,174.219,0.0046137406,1
184,10,2962,171.757,0.0046137406,1
192,10,2962,174.667,0.0046137406,1
200,10,2962,182.345,0.0046137406,1
208,10,2962,179.882,0.0046137406,1
216,10,2962,182.89,0.0046137406,1
224,10,2962,188.723,0.0046137406,1
232,10,2962,190.384,0.0046137406,1
240,10,2962,194.25,0.0046137406,1
248,10,2962,174.815,0.0046137406,1
256,10,2962,172.679,0.0046137406,1
264,10,2962,180.846,0.0046137406,1
272,10,2962,178.903,0.0046137406,1
280,10,2962,176.646,0.0046137406,1
288,10,2962,180.654,0.0046137406,1
296,10,2962,179.778,0.0046137406,1
304,10,2962,186.412,0.0046137406,1
312,10,2962,185.405,0.0046137406,1
320,10,2962,187.982,0.0046137406,1
328,10,2962,191.876,0.0046137406,1
336,10,2962,211.076,0.0046137406,1
344,10,2962,202.009,0.0046137406,1
352,10,2962,242.681,0.0046137406,1
360,10,2962,207.394,0.0046137406,1
368,10,2962,215.1,0.0046137406,1
376,10,2962,218.37,0.0046137406,1
384,10,2962,222.928,0.0046137406,1
392,10,2962,227.719,0.0046137406,1
400,10,2962,232.436,0.0046137406,1
408,10,2962,196.732,0.0046137406,1
416,10,2962,167.285,0.0046137406,1
424,10,2962,170.184,0.0046137406,1
432,10,2962,171.807,0.0046137406,1
440,10,2962,172.177,0.0046137406,1
448,10,2962,175.914,0.0046137406,1
456,10,2962,177.862,0.0046137406,1
464,10,2962,181.901,0.0046137406,1
472,10,2962,184.588,0.0046137406,1
480,10,2962,185.177,0.0046137406,1
488,10,2962,193.637,0.0046137406,1
496,10,2962,195.261,0.0046137406,1
504,10,2962,195.542,0.0046137406,1
512,10,2962,199.379,0.0046137406,1
520,10,2962,202.337,0.0046137406,1
528,10,2962,208.597,0.0046137406,1
536,10,2962,210.287,0.0046137406,1
544,10,2962,213.34,0.0046137406,1
552,10,2962,215.017,0.0046137406,1
560,10,2962,218.897,0.0046137406,1
568,10,2962,220.34,0.0046137406,1
576,10,2962,221.38,0.0046137406,1
584,10,2962,307.13,0.0046137406,1
592,10,2962,231.893,0.0046137406,1
600,10,2962,231.772,0.0046137406,1
608,10,2962,232.805,0.0046137406,1
616,10,2962,235.79,0.0046137406,1
624,10,2962,246.894,0.0046137406,1
632,10,2962,243.258,0.0046137406,1
640,10,2962,248.36,0.0046137406,1
648,10,2962,249.158,0.0046137406,1
656,10,2962,251.15,0.0046137406,1
664,10,2962,253.16,0.0046137406,1
672,10,2962,258.24,0.0046137406,1
680,10,2962,262.553,0.0046137406,1
688,10,2962,264.726,0.0046137406,1
696,10,2962,265.053,0.0046137406,1
704,10,2962,267.909,0.0046137406,1
712,10,2962,274.337,0.0046137406,1
720,10,2962,275.363,0.0046137406,1
728,10,2962,282.213,0.0046137406,1
736,10,2962,281.982,0.0046137406,1
744,10,2962,285.659,0.0046137406,1
752,10,2962,291.384,0.0046137406,1
760,10,2962,291.312,0.0046137406,1
768,10,2962,298.012,0.0046137406,1
776,10,2962,267.012,0.0046137406,1
784,10,2962,259.394,0.0046137406,1
792,10,2962,245.134,0.0046137406,1
800,10,2962,230.007,0.0046137406,1
808,10,2962,207.93,0.0046137406,1
816,10,2962,190.684,0.0046137406,1
824,10,2962,175.157,0.0046137406,1
832,10,2962,164.486,0.0046137406,1
840,10,2962,171.666,0.0046137406,1
848,10,2962,167.588,0.0046137406,1
856,10,2962,166.601,0.0046137406,1
864,10,2962,191.047,0.0046137406,1
872,10,2962,173.117,0.0046137406,1
880,10,2962,229.526,0.0046137406,1
888,10,2962,174.206,0.0046137406,1
896,10,2962,176.14,0.0046137406,1
904,10,2962,176.391,0.0046137406,1
912,10,2962,177.266,0.0046137406,1
920,10,2962,179.62,0.0046137406,1
928,10,2962,240.589,0.0046137406,1
936,10,2962,183.352,0.0046137406,1
944,10,2962,182.498,0.0046137406,1
952,10,2962,200.713,0.0046137406,1
960,10,2962,189.95,0.0046137406,1
968,10,2962,191.618,0.0046137406,1
976,10,2962,189.985,0.0046137406,1
984,10,2962,191.504,0.0046137406,1
992,10,2962,194.423,0.0046137406,1
1000,10,2962,193.443,0.0046137406,1
1008,10,2962,197.905,0.0046137406,1
1016,10,2962,195.562,0.0046137406,1
1024,10,2962,200.644,0.0046137406,1
1032,10,2962,201.167,0.0046137406,1
1040,10,2962,202.213,0.0046137406,1
1048,10,2962,273.603,0.0046137406,1
1056,10,2962,207.513,0.0046137406,1
1064,10,2962,206.96,0.0046137406,1
1072,10,2962,208.358,0.0046137406,1
1080,10,2962,210.396,0.0046137406,1
1088,10,2962,211.906,0.0046137406,1
1096,10,2962,289.752,0.0046137406,1
1104,10,2962,213.085,0.0046137406,1
1112,10,2962,215.947,0.0046137406,1
1120,10,2962,221.218,0.0046137406,1
1128,10,2962,219.834,0.0046137406,1
1136,10,2962,220.294,0.0046137406,1
1144,10,2962,237.931,0.0046137406,1
1152,10,2962,222.049,0.0046137406,1
1160,10,2962,225.504,0.0046137406,1
1168,10,2962,226.134,0.0046137406,1
1176,10,2962,228.154,0.0046137406,1
1184,10,2962,229.524,0.0046137406,1
1192,10,2962,231.378,0.0046137406,1
1200,10,2962,233.871,0.0046137406,1
1208,10,2962,235.824,0.0046137406,1
1216,10,2962,235.675,0.0046137406,1
1224,10,2962,234.225,0.0046137406,1
1232,10,2962,238.156,0.0046137406,1
1240,10,2962,240.947,0.0046137406,1
1248,10,2962,241.8,0.0046137406,1
1256,10,2962,242.14,0.0046137406,1
1264,10,2962,246.937,0.0046137406,1
1272,10,2962,249.376,0.0046137406,1
1280,10,2962,247.398,0.0046137406,1
1288,10,2962,250.492,0.0046137406,1
1296,10,2962,254.06,0.0046137406,1
1304,10,2962,256.804,0.0046137406,1
1312,10,2962,256.876,0.0046137406,1
1320,10,2962,255.463,0.0046137406,1
1328,10,2962,321.653,0.0046137406,1
1336,10,2962,258.188,0.0046137406,1
1344,10,2962,261.155,0.0046137406,1
1352,10,2962,330.415,0.0046137406,1
1360,10,2962,263.765,0.0046137406,1
1368,10,2962,265.766,0.0046137406,1
1376,10,2962,269.287,0.0046137406,1
1384,10,2962,268.732,0.0046137406,1
1392,10,2962,269.832,0.0046137406,1
1400,10,2962,272.973,0.0046137406,1
1408,10,2962,270.089,0.0046137406,1
1416,10,2962,271.668,0.0046137406,1
1424,10,2962,274.961,0.0046137406,1
1432,10,2962,276.149,0.0046137406,1
1440,10,2962,278.859,0.0046137406,1
1448,10,2962,280.802,0.0046137406,1
1456,10,2962,279.902,0.0046137406,1
1464,10,2962,282.425,0.0046137406,1
1472,10,2962,283.144,0.0046137406,1
1480,10,2962,288.05,0.0046137406,1
1488,10,2962,288.087,0.0046137406,1
1496,10,2962,291.054,0.0046137406,1
1504,10,2962,291.218,0.0046137406,1
1512,10,2962,292.814,0.0046137406,1
1520,10,2962,293.291,0.0046137406,1
1528,10,2962,295.909,0.0046137406,1
1536,10,2962,296.361,0.0046137406,1
1544,10,2962,296.781,0.0046137406,1
1552,10,2962,297.694,0.0046137406,1
1560,10,2962,382.264,0.0046137406,1
1568,10,2962,302.438,0.0046137406,1
1576,10,2962,301.914,0.0046137406,1
1584,10,2962,307.605,0.0046137406,1
1592,10,2962,308.758,0.0046137406,1
1600,10,2962,307.421,0.0046137406,1
1608,10,2962,311.695,0.0046137406,1
1616,10,2962,312.475,0.0046137406,1
1624,10,2962,314.368,0.0046137406,1
1632,10,2962,318.664,0.0046137406,1
1640,10,2962,314.922,0.0046137406,1
1648,10,2962,317.651,0.0046137406,1
1656,10,2962,319.765,0.0046137406,1
1664,10,2962,324.281,0.0046137406,1
1672,10,2962,324.822,0.0046137406,1
1680,10,2962,323.135,0.0046137406,1
1688,10,2962,325.989,0.0046137406,1
1696,10,2962,410.403,0.0046137406,1
1704,10,2962,330.836,0.0046137406,1
1712,10,2962,328.321,0.0046137406,1
1720,10,2962,332.232,0.0046137406,1
1728,10,2962,332.823,0.0046137406,1
1736,10,2962,335.098,0.0046137406,1
1744,10,2962,335.95,0.0046137406,1
1752,10,2962,335.884,0.0046137406,1
1760,10,2962,342.276,0.0046137406,1
1768,10,2962,339.381,0.0046137406,1
1776,10,2962,341.974,0.0046137406,1
1784,10,2962,342.68,0.0046137406,1
1792,10,2962,342.898,0.0046137406,1
1800,10,2962,344.866,0.0046137406,1
1808,10,2962,347.715,0.0046137406,1
1816,10,2962,349.297,0.0046137406,1
1824,10,2962,351.685,0.0046137406,1
1832,10,2962,352.491,0.0046137406,1
1840,10,2962,358.939,0.0046137406,1
1848,10,2962,355.754,0.0046137406,1
1856,10,2962,359.801,0.0046137406,1
1864,10,2962,451.691,0.0046137406,1
1872,10,2962,362.999,0.0046137406,1
1880,10,2962,366.741,0.0046137406,1
1888,10,2962,364.727,0.0046137406,1
1896,10,2962,365.499,0.0046137406,1
1904,10,2962,369.841,0.0046137406,1
1912,10,2962,372.538,0.0046137406,1
1920,10,2962,369.611,0.0046137406,1
1928,10,2962,369.888,0.0046137406,1
1936,10,2962,372.502,0.0046137406,1
1944,10,2962,372.028,0.0046137406,1
1952,10,2962,375.491,0.0046137406,1
1960,10,2962,377.465,0.0046137406,1
1968,10,2962,377.304,0.0046137406,1
1976,10,2962,380,0.0046137406,1
1984,10,2962,382.072,0.0046137406,1
1992,10,2962,382.945,0.0046137406,1
2000,10,2962,383.9,0.0046137406,1
2008,10,2962,383.848,0.0046137406,1
2016,10,2962,390.652,0.0046137406,1
2024,10,2962,393.698,0.0046137406,1
2032,10,2962,390.094,0.0046137406,1
2040,10,2962,394.211,0.0046137406,1
2048,10,2962,393.799,0.0046137406,1
2056,10,2962,396.259,0.0046137406,1
2064,10,2962,397.698,0.0046137406,1
2072,10,2962,398.107,0.0046137406,1
2080,10,2962,399.945,0.0046137406,1
2088,10,2962,401.596,0.0046137406,1
2096,10,2962,405.185,0.0046137406,1
2104,10,2962,406.014,0.0046137406,1
2112,10,2962,408.924,0.0046137406,1
2120,10,2962,411.416,0.0046137406,1
2128,10,2962,406.404,0.0046137406,1
2136,10,2962,414.124,0.0046137406,1
2144,10,2962,413.149,0.0046137406,1
2152,10,2962,413.313,0.0046137406,1
2160,10,2962,413.836,0.0046137406,1
2168,10,2962,416.425,0.0046137406,1
2176,10,2962,526.568,0.0046137406,1
2184,10,2962,417.647,0.0046137406,1
2192,10,2962,424.034,0.0046137406,1
2200,10,2962,422.568,0.0046137406,1
2208,10,2962,534.998,0.0046137406,1
2216,10,2962,428.625,0.0046137406,1
2224,10,2962,428.017,0.0046137406,1
2232,10,2962,428.421,0.0046137406,1
2240,10,2962,541.287,0.0046137406,1
2248,10,2962,432.119,0.0046137406,1
2256,10,2962,434.985,0.0046137406,1
2264,10,2962,435.648,0.0046137406,1
2272,10,2962,435.887,0.0046137406,1
2280,10,2962,437.124,0.0046137406,1
2288,10,2962,442.119,0.0046137406,1
2296,10,2962,442.393,0.0046137406,1
2304,10,2962,447.125,0.0046137406,1
2312,10,2962,557.396,0.0046137406,1
2320,10,2962,443.98,0.0046137406,1
2328,10,2962,452.213,0.0046137406,1
2336,10,2962,453.895,0.0046137406,1
2344,10,2962,450.474,0.0046137406,1
2352,10,2962,455.034,0.0046137406,1
2360,10,2962,456.403,0.0046137406,1
2368,10,2962,458.488,0.0046137406,1
2376,10,2962,474.26,0.0046137406,1
2384,10,2962,462.834,0.0046137406,1
2392,10,2962,457.768,0.0046137406,1
2400,10,2962,459.497,0.0046137406,1
2408,10,2962,466.358,0.0046137406,1
2416,10,2962,466.613,0.0046137406,1
2424,10,2962,469.692,0.0046137406,1
2432,10,2962,474.107,0.0046137406,1
2440,10,2962,468.994,0.0046137406,1
2448,10,2962,470.435,0.0046137406,1
2456,10,2962,473.716,0.0046137406,1
2464,10,2962,474.273,0.0046137406,1
2472,10,2962,475.647,0.0046137406,1
2480,10,2962,479.532,0.0046137406,1
2488,10,2962,477.163,0.0046137406,1
2496,10,2962,480.129,0.0046137406,1
2504,10,2962,479.794,0.0046137406,1
2512,10,2962,483.387,0.0046137406,1
2520,10,2962,485.212,0.0046137406,1
2528,10,2962,485.913,0.0046137406,1
2536,10,2962,487.206,0.0046137406,1
2544,10,2962,488.94,0.0046137406,1
2552,10,2962,493.449,0.0046137406,1
2560,10,2962,495.555,0.0046137406,1
2568,10,2962,493.149,0.0046137406,1
2576,10,2962,495.214,0.0046137406,1
2584,10,2962,496.312,0.0046137406,1
2592,10,2962,497.148,0.0046137406,1
2600,10,2962,503.653,0.0046137406,1
2608,10,2962,500.818,0.0046137406,1
2616,10,2962,501.748,0.0046137406,1
2624,10,2962,502.359,0.0046137406,1
2632,10,2962,507.224,0.0046137406,1
2640,10,2962,506.424,0.0046137406,1
2648,10,2962,510.245,0.0046137406,1
2656,10,2962,507.616,0.0046137406,1
2664,10,2962,515.142,0.0046137406,1
2672,10,2962,514.429,0.0046137406,1
2680,10,2962,518.466,0.0046137406,1
2688,10,2962,519.077,0.0046137406,1
2696,10,2962,522.078,0.0046137406,1
2704,10,2962,517.709,0.0046137406,1
2712,10,2962,524.537,0.0046137406,1
