Nvec,Chunck,NN,Time,Error,Prob
8,60,2962,173.273,0.0046137406,1
16,60,2962,189.237,0.0046137406,1
24,60,2962,187.893,0.0046137406,1
32,60,2962,182.714,0.0046137406,1
40,60,2962,195.786,0.0046137406,1
48,60,2962,183.163,0.0046137406,1
56,60,2962,194.45,0.0046137406,1
64,60,2962,225.689,0.0046137406,1
72,60,2962,228.501,0.0046137406,1
80,60,2962,189.664,0.0046137406,1
88,60,2962,204.192,0.0046137406,1
96,60,2962,220.605,0.0046137406,1
104,60,2962,240.665,0.0046137406,1
112,60,2962,256.578,0.0046137406,1
120,60,2962,279.249,0.0046137406,1
128,60,2962,297.953,0.0046137406,1
136,60,2962,200.893,0.0046137406,1
144,60,2962,181.718,0.0046137406,1
152,60,2962,180.311,0.0046137406,1
160,60,2962,205.295,0.0046137406,1
168,60,2962,195.297,0.0046137406,1
176,60,2962,272.323,0.0046137406,1
184,60,2962,210.361,0.0046137406,1
192,60,2962,220.396,0.0046137406,1
200,60,2962,233.608,0.0046137406,1
208,60,2962,241.706,0.0046137406,1
216,60,2962,251.12,0.0046137406,1
224,60,2962,259.426,0.0046137406,1
232,60,2962,268.08,0.0046137406,1
240,60,2962,289.715,0.0046137406,1
248,60,2962,286.675,0.0046137406,1
256,60,2962,298.197,0.0046137406,1
264,60,2962,304.5,0.0046137406,1
272,60,2962,313.484,0.0046137406,1
280,60,2962,322.402,0.0046137406,1
288,60,2962,328.551,0.0046137406,1
296,60,2962,338.058,0.0046137406,1
304,60,2962,351.518,0.0046137406,1
312,60,2962,359.642,0.0046137406,1
320,60,2962,364.507,0.0046137406,1
328,60,2962,373.759,0.0046137406,1
336,60,2962,417.211,0.0046137406,1
344,60,2962,395.202,0.0046137406,1
352,60,2962,403.871,0.0046137406,1
360,60,2962,414.71,0.0046137406,1
368,60,2962,423.028,0.0046137406,1
376,60,2962,431.257,0.0046137406,1
384,60,2962,438.442,0.0046137406,1
392,60,2962,448.103,0.0046137406,1
400,60,2962,455.47,0.0046137406,1
408,60,2962,467.83,0.0046137406,1
416,60,2962,472.817,0.0046137406,1
424,60,2962,487.211,0.0046137406,1
432,60,2962,495.133,0.0046137406,1
440,60,2962,500.857,0.0046137406,1
448,60,2962,514.09,0.0046137406,1
456,60,2962,518.885,0.0046137406,1
464,60,2962,531.469,0.0046137406,1
472,60,2962,537.676,0.0046137406,1
480,60,2962,548.097,0.0046137406,1
488,60,2962,600.813,0.0046137406,1
496,60,2962,611.813,0.0046137406,1
504,60,2962,573.137,0.0046137406,1
512,60,2962,588.959,0.0046137406,1
520,60,2962,797.87,0.0046137406,1
528,60,2962,602.058,0.0046137406,1
536,60,2962,614.924,0.0046137406,1
544,60,2962,619.987,0.0046137406,1
552,60,2962,682.052,0.0046137406,1
560,60,2962,640.672,0.0046137406,1
568,60,2962,644.562,0.0046137406,1
576,60,2962,653.784,0.0046137406,1
584,60,2962,897.852,0.0046137406,1
592,60,2962,671.557,0.0046137406,1
600,60,2962,681.871,0.0046137406,1
608,60,2962,690.011,0.0046137406,1
