Ncache,Chunck,NN,Time,Error,Prob
100,100,2962,2302.07,0.0046137439,1
200,100,2962,1909.51,0.0046137439,1
300,100,2962,1660.98,0.0046137439,1
400,100,2962,1260.37,0.0046137439,1
500,100,2962,1340.83,0.0046137439,1
600,100,2962,1129.7,0.0046137439,1
700,100,2962,1428.54,0.0046137439,1
800,100,2962,1848.67,0.0046137439,1
900,100,2962,1245.29,0.0046137439,1
1000,100,2962,1055.84,0.0046137439,1
1100,100,2962,1278.03,0.0046137439,1
1200,100,2962,1609.32,0.0046137439,1
1300,100,2962,1319.67,0.0046137439,1
1400,100,2962,1173.42,0.0046137439,1
1500,100,2962,1829.6,0.0046137439,1
1600,100,2962,1001.64,0.0046137439,1
1700,100,2962,1145.14,0.0046137439,1
1800,100,2962,1259.96,0.0046137439,1
1900,100,2962,1511,0.0046137439,1
2000,100,2962,1809.47,0.0046137439,1
2100,100,2962,1622.4,0.0046137439,1
2200,100,2962,1532.77,0.0046137439,1
2300,100,2962,1339.84,0.0046137439,1
2400,100,2962,1203.68,0.0046137439,1
2500,100,2962,1392.97,0.0046137439,1
2600,100,2962,1558.26,0.0046137439,1
2700,100,2962,2376.37,0.0046137439,1
2800,100,2962,1458.29,0.0046137439,1
2900,100,2962,1542.06,0.0046137439,1
3000,100,2962,2015.44,0.0046137439,1
3100,100,2962,2507.56,0.0046137439,1
3200,100,2962,2407.27,0.0046137439,1
3300,100,2962,3005.06,0.0046137439,1
3400,100,2962,2459.9,0.0046137439,1
3500,100,2962,2620.88,0.0046137439,1
3600,100,2962,2523.59,0.0046137439,1
3700,100,2962,2756.78,0.0046137439,1
3800,100,2962,2432.97,0.0046137439,1
3900,100,2962,2377.9,0.0046137439,1
4000,100,2962,2424.23,0.0046137439,1
4100,100,2962,2279.05,0.0046137439,1
4200,100,2962,2404.23,0.0046137439,1
4300,100,2962,2372.73,0.0046137439,1
4400,100,2962,2357.46,0.0046137439,1
4500,100,2962,2366.28,0.0046137439,1
4600,100,2962,2432.03,0.0046137439,1
4700,100,2962,2344.44,0.0046137439,1
4800,100,2962,2355.56,0.0046137439,1
4900,100,2962,2533.82,0.0046137439,1
5000,100,2962,2383.91,0.0046137439,1
5100,100,2962,1985.68,0.0046137439,1
5200,100,2962,2557.57,0.0046137439,1
5300,100,2962,3325.41,0.0046137439,1
5400,100,2962,2323.83,0.0046137439,1
5500,100,2962,1758.79,0.0046137439,1
5600,100,2962,1927.82,0.0046137439,1
5700,100,2962,2369.43,0.0046137439,1
5800,100,2962,2346.15,0.0046137439,1
5900,100,2962,1901.91,0.0046137439,1
6000,100,2962,2077.03,0.0046137439,1
6100,100,2962,1856.9,0.0046137439,1
6200,100,2962,1954.82,0.0046137439,1
6300,100,2962,1955.45,0.0046137439,1
6400,100,2962,2201.14,0.0046137439,1
6500,100,2962,1669.01,0.0046137439,1
6600,100,2962,2022.74,0.0046137439,1
6700,100,2962,2023.69,0.0046137439,1
6800,100,2962,2060.34,0.0046137439,1
6900,100,2962,1737.69,0.0046137439,1
7000,100,2962,1672.75,0.0046137439,1
7100,100,2962,843.892,0.0046137439,1
7200,100,2962,1533.37,0.0046137439,1
7300,100,2962,1284.47,0.0046137439,1
7400,100,2962,1456.74,0.0046137439,1
7500,100,2962,1799.99,0.0046137439,1
7600,100,2962,1669.63,0.0046137439,1
7700,100,2962,1699.69,0.0046137439,1
7800,100,2962,1642.89,0.0046137439,1
7900,100,2962,1371.11,0.0046137439,1
8000,100,2962,2484.95,0.0046137439,1
8100,100,2962,1875.46,0.0046137439,1
8200,100,2962,1609.62,0.0046137439,1
8300,100,2962,1855.07,0.0046137439,1
8400,100,2962,1779.95,0.0046137439,1
8500,100,2962,1272.54,0.0046137439,1
8600,100,2962,1791.73,0.0046137439,1
8700,100,2962,1638.07,0.0046137439,1
8800,100,2962,1260.18,0.0046137439,1
8900,100,2962,1461.49,0.0046137439,1
9000,100,2962,1273.26,0.0046137439,1
9100,100,2962,1507.74,0.0046137439,1
9200,100,2962,1370.46,0.0046137439,1
9300,100,2962,1086.2,0.0046137439,1
9400,100,2962,1365.15,0.0046137439,1
9500,100,2962,1494.29,0.0046137439,1
9600,100,2962,1213.92,0.0046137439,1
9700,100,2962,1173.09,0.0046137439,1
9800,100,2962,1364.76,0.0046137439,1
9900,100,2962,1389.08,0.0046137439,1
