Time, Error, Count, M, Prob
584.813, 0.00000358889950291541, 100, 100, 1

598.037, 0.00000358889950291541, 100, 100, 1

573.578, 0.00000358889950291541, 100, 100, 1

572.876, 0.00000358889950291541, 100, 100, 1

