Ncache,Chunck,Time,Error,Prob
10100,100,346.502,0.0003939692,1

10200,100,340.93,0.0003939692,1

10300,100,339.096,0.0003939692,1

10400,100,340.556,0.0003939692,1

10500,100,334.392,0.0003939692,1

10600,100,334.008,0.0003939692,1

10700,100,333.297,0.0003939692,1

10800,100,324.558,0.0003939692,1

10900,100,334.504,0.0003939692,1

11000,100,342.209,0.0003939692,1

11100,100,336.401,0.0003939692,1

11200,100,337.54,0.0003939692,1

11300,100,338.858,0.0003939692,1

11400,100,338.363,0.0003939692,1

11500,100,345.672,0.0003939692,1

11600,100,332.3,0.0003939692,1

11700,100,348.442,0.0003939692,1

11800,100,339.093,0.0003939692,1

11900,100,337.703,0.0003939692,1

12000,100,327.168,0.0003939692,1

12100,100,346.144,0.0003939692,1

12200,100,336.552,0.0003939692,1

12300,100,329.375,0.0003939692,1

12400,100,331.628,0.0003939692,1

12500,100,338.818,0.0003939692,1

12600,100,332.94,0.0003939692,1

12700,100,340.561,0.0003939692,1

12800,100,352.578,0.0003939692,1

12900,100,350.987,0.0003939692,1

13000,100,345.965,0.0003939692,1

13100,100,333.399,0.0003939692,1

13200,100,357.324,0.0003939692,1

13300,100,335.347,0.0003939692,1

13400,100,339.393,0.0003939692,1

13500,100,328.879,0.0003939692,1

13600,100,337.109,0.0003939692,1

13700,100,336.652,0.0003939692,1

13800,100,341.808,0.0003939692,1

13900,100,341.132,0.0003939692,1

14000,100,339.047,0.0003939692,1

14100,100,342.93,0.0003939692,1

14200,100,338.87,0.0003939692,1

14300,100,354.925,0.0003939692,1

14400,100,349.044,0.0003939692,1

14500,100,332.732,0.0003939692,1

14600,100,348.169,0.0003939692,1

14700,100,344.313,0.0003939692,1

14800,100,337.107,0.0003939692,1

14900,100,349.763,0.0003939692,1

15000,100,348.028,0.0003939692,1

15100,100,334.29,0.0003939692,1

15200,100,335.599,0.0003939692,1

15300,100,331.272,0.0003939692,1

15400,100,335.463,0.0003939692,1

15500,100,333.52,0.0003939692,1

15600,100,328.693,0.0003939692,1

15700,100,342.52,0.0003939692,1

15800,100,345.894,0.0003939692,1

15900,100,334.834,0.0003939692,1

16000,100,335.973,0.0003939692,1

16100,100,341.237,0.0003939692,1

16200,100,352.01,0.0003939692,1

16300,100,347.181,0.0003939692,1

16400,100,352.492,0.0003939692,1

16500,100,340.806,0.0003939692,1

16600,100,339.944,0.0003939692,1

16700,100,342.365,0.0003939692,1

16800,100,350.88,0.0003939692,1

16900,100,340.561,0.0003939692,1

17000,100,340.954,0.0003939692,1

17100,100,338.341,0.0003939692,1

17200,100,337.608,0.0003939692,1

17300,100,339.085,0.0003939692,1

17400,100,350.327,0.0003939692,1

17500,100,338.253,0.0003939692,1

17600,100,335.883,0.0003939692,1

17700,100,342.887,0.0003939692,1

17800,100,341.95,0.0003939692,1

17900,100,348.847,0.0003939692,1

18000,100,345.151,0.0003939692,1

18100,100,339.278,0.0003939692,1

18200,100,355.154,0.0003939692,1

18300,100,359.63,0.0003939692,1

18400,100,346.449,0.0003939692,1

18500,100,344.261,0.0003939692,1

18600,100,360.185,0.0003939692,1

18700,100,331.189,0.0003939692,1

18800,100,337.426,0.0003939692,1

18900,100,342.012,0.0003939692,1

19000,100,337.101,0.0003939692,1

19100,100,334.406,0.0003939692,1

19200,100,347.978,0.0003939692,1

19300,100,333.528,0.0003939692,1

19400,100,369.569,0.0003939692,1

19500,100,347.926,0.0003939692,1

19600,100,349.977,0.0003939692,1

19700,100,332.04,0.0003939692,1

19800,100,357.415,0.0003939692,1

19900,100,362.014,0.0003939692,1

20000,100,352.852,0.0003939692,1

