Ncache,Chunck,Time,Error,Prob
10100,30,340.271,0.0003939692,1

10200,30,340.333,0.0003939692,1

10300,30,339.294,0.0003939692,1

10400,30,347.156,0.0003939692,1

10500,30,354.594,0.0003939692,1

10600,30,337.882,0.0003939692,1

10700,30,341.86,0.0003939692,1

10800,30,345.959,0.0003939692,1

10900,30,335.087,0.0003939692,1

11000,30,340.367,0.0003939692,1

11100,30,332.418,0.0003939692,1

11200,30,336.658,0.0003939692,1

11300,30,342.736,0.0003939692,1

11400,30,334.036,0.0003939692,1

11500,30,334.965,0.0003939692,1

11600,30,344.926,0.0003939692,1

11700,30,340.271,0.0003939692,1

11800,30,340.766,0.0003939692,1

11900,30,344.964,0.0003939692,1

12000,30,345.53,0.0003939692,1

12100,30,343.455,0.0003939692,1

12200,30,324.816,0.0003939692,1

12300,30,340.888,0.0003939692,1

12400,30,338.962,0.0003939692,1

12500,30,335.026,0.0003939692,1

12600,30,346.969,0.0003939692,1

12700,30,345.653,0.0003939692,1

12800,30,334.716,0.0003939692,1

12900,30,338.801,0.0003939692,1

13000,30,346.155,0.0003939692,1

13100,30,341.591,0.0003939692,1

13200,30,351.379,0.0003939692,1

13300,30,330.265,0.0003939692,1

13400,30,341.9,0.0003939692,1

13500,30,335.477,0.0003939692,1

13600,30,341.54,0.0003939692,1

13700,30,334.488,0.0003939692,1

13800,30,336.414,0.0003939692,1

13900,30,357.753,0.0003939692,1

14000,30,336.731,0.0003939692,1

14100,30,336.136,0.0003939692,1

14200,30,345.045,0.0003939692,1

14300,30,337.25,0.0003939692,1

14400,30,343.659,0.0003939692,1

14500,30,337.887,0.0003939692,1

14600,30,343.104,0.0003939692,1

14700,30,328.252,0.0003939692,1

14800,30,333.448,0.0003939692,1

14900,30,350.44,0.0003939692,1

15000,30,345.242,0.0003939692,1

15100,30,339.122,0.0003939692,1

15200,30,338.293,0.0003939692,1

15300,30,336.098,0.0003939692,1

15400,30,350.292,0.0003939692,1

15500,30,337.907,0.0003939692,1

15600,30,333.829,0.0003939692,1

15700,30,344.334,0.0003939692,1

15800,30,333.498,0.0003939692,1

15900,30,356.575,0.0003939692,1

16000,30,338.541,0.0003939692,1

16100,30,349.516,0.0003939692,1

16200,30,342.056,0.0003939692,1

16300,30,345.086,0.0003939692,1

16400,30,349.124,0.0003939692,1

16500,30,343.685,0.0003939692,1

16600,30,350.184,0.0003939692,1

16700,30,335.791,0.0003939692,1

16800,30,355.803,0.0003939692,1

16900,30,337.509,0.0003939692,1

17000,30,317.487,0.0003939692,1

17100,30,338.138,0.0003939692,1

17200,30,331.27,0.0003939692,1

17300,30,356.733,0.0003939692,1

17400,30,338.168,0.0003939692,1

17500,30,325.301,0.0003939692,1

17600,30,337.442,0.0003939692,1

17700,30,343.607,0.0003939692,1

17800,30,349.767,0.0003939692,1

17900,30,345.514,0.0003939692,1

18000,30,342.012,0.0003939692,1

18100,30,337.06,0.0003939692,1

18200,30,347.431,0.0003939692,1

18300,30,346.495,0.0003939692,1

18400,30,336.986,0.0003939692,1

18500,30,343.241,0.0003939692,1

18600,30,336.726,0.0003939692,1

18700,30,336.852,0.0003939692,1

18800,30,340.321,0.0003939692,1

18900,30,334.947,0.0003939692,1

19000,30,340.858,0.0003939692,1

19100,30,328.957,0.0003939692,1

19200,30,337.402,0.0003939692,1

19300,30,342.177,0.0003939692,1

19400,30,348.239,0.0003939692,1

19500,30,344.217,0.0003939692,1

19600,30,334.188,0.0003939692,1

19700,30,345.579,0.0003939692,1

19800,30,341.923,0.0003939692,1

19900,30,341.647,0.0003939692,1

20000,30,347.904,0.0003939692,1

