Ncache,Chunck,Time,Error,Prob
10100,40,360.391,0.0003939692,1

10200,40,333.036,0.0003939692,1

10300,40,344.19,0.0003939692,1

10400,40,327.144,0.0003939692,1

10500,40,338.719,0.0003939692,1

10600,40,350.703,0.0003939692,1

10700,40,334.296,0.0003939692,1

10800,40,351.733,0.0003939692,1

10900,40,345.549,0.0003939692,1

11000,40,337.594,0.0003939692,1

11100,40,337.329,0.0003939692,1

11200,40,361.192,0.0003939692,1

11300,40,337.168,0.0003939692,1

11400,40,331.191,0.0003939692,1

11500,40,345.314,0.0003939692,1

11600,40,338.815,0.0003939692,1

11700,40,343.741,0.0003939692,1

11800,40,340.714,0.0003939692,1

11900,40,338.68,0.0003939692,1

12000,40,345.112,0.0003939692,1

12100,40,353.135,0.0003939692,1

12200,40,344.049,0.0003939692,1

12300,40,330.368,0.0003939692,1

12400,40,348.363,0.0003939692,1

12500,40,339.248,0.0003939692,1

12600,40,344.443,0.0003939692,1

12700,40,346.994,0.0003939692,1

12800,40,344.08,0.0003939692,1

12900,40,345.025,0.0003939692,1

13000,40,329.653,0.0003939692,1

13100,40,322.275,0.0003939692,1

13200,40,339.701,0.0003939692,1

13300,40,343.023,0.0003939692,1

13400,40,335.305,0.0003939692,1

13500,40,341.86,0.0003939692,1

13600,40,341.767,0.0003939692,1

13700,40,346.65,0.0003939692,1

13800,40,340.328,0.0003939692,1

13900,40,346.911,0.0003939692,1

14000,40,325.239,0.0003939692,1

14100,40,343.283,0.0003939692,1

14200,40,334.766,0.0003939692,1

14300,40,335.658,0.0003939692,1

14400,40,348.329,0.0003939692,1

14500,40,346.453,0.0003939692,1

14600,40,351.319,0.0003939692,1

14700,40,334.585,0.0003939692,1

14800,40,355.047,0.0003939692,1

14900,40,333.805,0.0003939692,1

15000,40,339.77,0.0003939692,1

15100,40,348.705,0.0003939692,1

15200,40,334.408,0.0003939692,1

15300,40,346.505,0.0003939692,1

15400,40,346.163,0.0003939692,1

15500,40,331.757,0.0003939692,1

15600,40,336.822,0.0003939692,1

15700,40,341.884,0.0003939692,1

15800,40,343.427,0.0003939692,1

15900,40,333.502,0.0003939692,1

16000,40,342.701,0.0003939692,1

16100,40,337.735,0.0003939692,1

16200,40,342.868,0.0003939692,1

16300,40,339.11,0.0003939692,1

16400,40,336.544,0.0003939692,1

16500,40,337.813,0.0003939692,1

16600,40,349.286,0.0003939692,1

16700,40,331.909,0.0003939692,1

16800,40,337.47,0.0003939692,1

16900,40,342.035,0.0003939692,1

17000,40,336.338,0.0003939692,1

17100,40,345.466,0.0003939692,1

17200,40,333.581,0.0003939692,1

17300,40,339.659,0.0003939692,1

17400,40,330.686,0.0003939692,1

17500,40,335.918,0.0003939692,1

17600,40,346.449,0.0003939692,1

17700,40,338.972,0.0003939692,1

17800,40,341.589,0.0003939692,1

17900,40,346.394,0.0003939692,1

18000,40,345.451,0.0003939692,1

18100,40,340.848,0.0003939692,1

18200,40,355.492,0.0003939692,1

18300,40,334.419,0.0003939692,1

18400,40,344.064,0.0003939692,1

18500,40,340.331,0.0003939692,1

18600,40,324.945,0.0003939692,1

18700,40,337.057,0.0003939692,1

18800,40,340.725,0.0003939692,1

18900,40,345.94,0.0003939692,1

19000,40,349.482,0.0003939692,1

19100,40,342.978,0.0003939692,1

19200,40,342.718,0.0003939692,1

19300,40,343.128,0.0003939692,1

19400,40,350.068,0.0003939692,1

19500,40,334.212,0.0003939692,1

19600,40,342.282,0.0003939692,1

19700,40,345.296,0.0003939692,1

19800,40,342.948,0.0003939692,1

19900,40,357.679,0.0003939692,1

20000,40,346.649,0.0003939692,1

