Ncache,Chunck,Time,Error,Prob
10100,50,345.845,0.0003939692,1

10200,50,335.714,0.0003939692,1

10300,50,349.748,0.0003939692,1

10400,50,336.267,0.0003939692,1

10500,50,339.641,0.0003939692,1

10600,50,334.763,0.0003939692,1

10700,50,333.597,0.0003939692,1

10800,50,344.844,0.0003939692,1

10900,50,332.556,0.0003939692,1

11000,50,344.616,0.0003939692,1

11100,50,333.652,0.0003939692,1

11200,50,347.222,0.0003939692,1

11300,50,336.667,0.0003939692,1

11400,50,336.431,0.0003939692,1

11500,50,334.041,0.0003939692,1

11600,50,333.758,0.0003939692,1

11700,50,338.087,0.0003939692,1

11800,50,327.516,0.0003939692,1

11900,50,343.918,0.0003939692,1

12000,50,337.662,0.0003939692,1

12100,50,344.071,0.0003939692,1

12200,50,332.832,0.0003939692,1

12300,50,347.193,0.0003939692,1

12400,50,348.93,0.0003939692,1

12500,50,341.229,0.0003939692,1

12600,50,334.987,0.0003939692,1

12700,50,343.458,0.0003939692,1

12800,50,332.763,0.0003939692,1

12900,50,339.696,0.0003939692,1

13000,50,361.304,0.0003939692,1

13100,50,334.395,0.0003939692,1

13200,50,339.262,0.0003939692,1

13300,50,338.333,0.0003939692,1

13400,50,336.81,0.0003939692,1

13500,50,345.831,0.0003939692,1

13600,50,351.155,0.0003939692,1

13700,50,337.28,0.0003939692,1

13800,50,344.211,0.0003939692,1

13900,50,345.763,0.0003939692,1

14000,50,350.947,0.0003939692,1

14100,50,346.42,0.0003939692,1

14200,50,346.199,0.0003939692,1

14300,50,346.091,0.0003939692,1

14400,50,332.442,0.0003939692,1

14500,50,351.584,0.0003939692,1

14600,50,334.634,0.0003939692,1

14700,50,352.159,0.0003939692,1

14800,50,350.393,0.0003939692,1

14900,50,335.995,0.0003939692,1

15000,50,346.61,0.0003939692,1

15100,50,338.868,0.0003939692,1

15200,50,347.283,0.0003939692,1

15300,50,332.391,0.0003939692,1

15400,50,339.469,0.0003939692,1

15500,50,332.998,0.0003939692,1

15600,50,341.349,0.0003939692,1

15700,50,349.188,0.0003939692,1

15800,50,332.789,0.0003939692,1

15900,50,341.86,0.0003939692,1

16000,50,354.504,0.0003939692,1

16100,50,342.853,0.0003939692,1

16200,50,335.911,0.0003939692,1

16300,50,337.991,0.0003939692,1

16400,50,352.017,0.0003939692,1

16500,50,341.173,0.0003939692,1

16600,50,327.648,0.0003939692,1

16700,50,343.962,0.0003939692,1

16800,50,343.244,0.0003939692,1

16900,50,334.681,0.0003939692,1

17000,50,337.927,0.0003939692,1

17100,50,344.808,0.0003939692,1

17200,50,338.566,0.0003939692,1

17300,50,345.791,0.0003939692,1

17400,50,342.466,0.0003939692,1

17500,50,343.501,0.0003939692,1

17600,50,345.326,0.0003939692,1

17700,50,327.931,0.0003939692,1

17800,50,351.468,0.0003939692,1

17900,50,324.358,0.0003939692,1

18000,50,336.056,0.0003939692,1

18100,50,353.114,0.0003939692,1

18200,50,338.501,0.0003939692,1

18300,50,336.489,0.0003939692,1

18400,50,343.749,0.0003939692,1

18500,50,352.344,0.0003939692,1

18600,50,329.128,0.0003939692,1

18700,50,351.725,0.0003939692,1

18800,50,334.561,0.0003939692,1

18900,50,339.192,0.0003939692,1

19000,50,351.807,0.0003939692,1

19100,50,346.139,0.0003939692,1

19200,50,339.426,0.0003939692,1

19300,50,342.264,0.0003939692,1

19400,50,341.903,0.0003939692,1

19500,50,352.825,0.0003939692,1

19600,50,341.319,0.0003939692,1

19700,50,351.71,0.0003939692,1

19800,50,348.022,0.0003939692,1

19900,50,345.294,0.0003939692,1

20000,50,342.36,0.0003939692,1

