Ncache,Chunck,Time,Error,Prob
10100,20,324.287,0.0003939692,1

10200,20,335.913,0.0003939692,1

10300,20,331.611,0.0003939692,1

10400,20,318.776,0.0003939692,1

10500,20,327.852,0.0003939692,1

10600,20,342.294,0.0003939692,1

10700,20,331.198,0.0003939692,1

10800,20,333.106,0.0003939692,1

10900,20,339.251,0.0003939692,1

11000,20,335.597,0.0003939692,1

11100,20,341.464,0.0003939692,1

11200,20,334.91,0.0003939692,1

11300,20,342.658,0.0003939692,1

11400,20,339.68,0.0003939692,1

11500,20,327.117,0.0003939692,1

11600,20,341.823,0.0003939692,1

11700,20,347.644,0.0003939692,1

11800,20,338.64,0.0003939692,1

11900,20,334.339,0.0003939692,1

12000,20,337.049,0.0003939692,1

12100,20,331.985,0.0003939692,1

12200,20,331.449,0.0003939692,1

12300,20,352.811,0.0003939692,1

12400,20,341.018,0.0003939692,1

12500,20,340.731,0.0003939692,1

12600,20,336.797,0.0003939692,1

12700,20,324.668,0.0003939692,1

12800,20,334.002,0.0003939692,1

12900,20,340.592,0.0003939692,1

13000,20,334.169,0.0003939692,1

13100,20,334.686,0.0003939692,1

13200,20,332.523,0.0003939692,1

13300,20,344.353,0.0003939692,1

13400,20,339.671,0.0003939692,1

13500,20,350.426,0.0003939692,1

13600,20,331.934,0.0003939692,1

13700,20,336.52,0.0003939692,1

13800,20,338.211,0.0003939692,1

13900,20,351.891,0.0003939692,1

14000,20,338.758,0.0003939692,1

14100,20,347.031,0.0003939692,1

14200,20,348.123,0.0003939692,1

14300,20,333.733,0.0003939692,1

14400,20,338.435,0.0003939692,1

14500,20,331.277,0.0003939692,1

14600,20,337.7,0.0003939692,1

14700,20,342.129,0.0003939692,1

14800,20,337.57,0.0003939692,1

14900,20,342.724,0.0003939692,1

15000,20,334.603,0.0003939692,1

15100,20,345.116,0.0003939692,1

15200,20,347.022,0.0003939692,1

15300,20,337.81,0.0003939692,1

15400,20,343.595,0.0003939692,1

15500,20,351.573,0.0003939692,1

15600,20,340.204,0.0003939692,1

15700,20,333.049,0.0003939692,1

15800,20,350.218,0.0003939692,1

15900,20,340.18,0.0003939692,1

16000,20,348.556,0.0003939692,1

16100,20,354.468,0.0003939692,1

16200,20,329.798,0.0003939692,1

16300,20,339.313,0.0003939692,1

16400,20,350.885,0.0003939692,1

16500,20,350.584,0.0003939692,1

16600,20,337.851,0.0003939692,1

16700,20,340.552,0.0003939692,1

16800,20,336.915,0.0003939692,1

16900,20,330.979,0.0003939692,1

17000,20,352.624,0.0003939692,1

17100,20,344.569,0.0003939692,1

17200,20,343.309,0.0003939692,1

17300,20,335.832,0.0003939692,1

17400,20,349.297,0.0003939692,1

17500,20,352.595,0.0003939692,1

17600,20,346.513,0.0003939692,1

17700,20,340.902,0.0003939692,1

17800,20,330.958,0.0003939692,1

17900,20,335.125,0.0003939692,1

18000,20,346.326,0.0003939692,1

18100,20,345.786,0.0003939692,1

18200,20,325.835,0.0003939692,1

18300,20,351.84,0.0003939692,1

18400,20,342.202,0.0003939692,1

18500,20,344.229,0.0003939692,1

18600,20,338.808,0.0003939692,1

18700,20,331.684,0.0003939692,1

18800,20,339.778,0.0003939692,1

18900,20,354.169,0.0003939692,1

19000,20,338.12,0.0003939692,1

19100,20,326.404,0.0003939692,1

19200,20,342.891,0.0003939692,1

19300,20,349.149,0.0003939692,1

19400,20,346.57,0.0003939692,1

19500,20,343.062,0.0003939692,1

19600,20,352.455,0.0003939692,1

19700,20,349.394,0.0003939692,1

19800,20,333.222,0.0003939692,1

19900,20,351.981,0.0003939692,1

20000,20,342.712,0.0003939692,1

