Ncache,Chunck,Time,Error,Prob
10100,70,349.88,0.0003939692,1

10200,70,345.386,0.0003939692,1

10300,70,344.864,0.0003939692,1

10400,70,364.8,0.0003939692,1

10500,70,332.41,0.0003939692,1

10600,70,328.77,0.0003939692,1

10700,70,337.382,0.0003939692,1

10800,70,349.659,0.0003939692,1

10900,70,338.227,0.0003939692,1

11000,70,333.496,0.0003939692,1

11100,70,342.32,0.0003939692,1

11200,70,324.433,0.0003939692,1

11300,70,333.366,0.0003939692,1

11400,70,344.529,0.0003939692,1

11500,70,341.657,0.0003939692,1

11600,70,337.657,0.0003939692,1

11700,70,349.001,0.0003939692,1

11800,70,335.978,0.0003939692,1

11900,70,339.744,0.0003939692,1

12000,70,336.859,0.0003939692,1

12100,70,342.465,0.0003939692,1

12200,70,340.153,0.0003939692,1

12300,70,347.327,0.0003939692,1

12400,70,348.331,0.0003939692,1

12500,70,339.725,0.0003939692,1

12600,70,336.741,0.0003939692,1

12700,70,333.695,0.0003939692,1

12800,70,342.76,0.0003939692,1

12900,70,356.081,0.0003939692,1

13000,70,334.875,0.0003939692,1

13100,70,345.853,0.0003939692,1

13200,70,350.523,0.0003939692,1

13300,70,342.343,0.0003939692,1

13400,70,346.523,0.0003939692,1

13500,70,347.907,0.0003939692,1

13600,70,349.108,0.0003939692,1

13700,70,346.94,0.0003939692,1

13800,70,342.619,0.0003939692,1

13900,70,342.55,0.0003939692,1

14000,70,332.682,0.0003939692,1

14100,70,343.395,0.0003939692,1

14200,70,346.498,0.0003939692,1

14300,70,349.051,0.0003939692,1

14400,70,349.716,0.0003939692,1

14500,70,346.605,0.0003939692,1

14600,70,346.506,0.0003939692,1

14700,70,338.831,0.0003939692,1

14800,70,341.266,0.0003939692,1

14900,70,350.145,0.0003939692,1

15000,70,335.948,0.0003939692,1

15100,70,334.803,0.0003939692,1

15200,70,340.127,0.0003939692,1

15300,70,337.59,0.0003939692,1

15400,70,331.355,0.0003939692,1

15500,70,343.207,0.0003939692,1

15600,70,344.977,0.0003939692,1

15700,70,339.27,0.0003939692,1

15800,70,338.541,0.0003939692,1

15900,70,339.59,0.0003939692,1

16000,70,328.997,0.0003939692,1

16100,70,345.858,0.0003939692,1

16200,70,339.742,0.0003939692,1

16300,70,344.916,0.0003939692,1

16400,70,343.427,0.0003939692,1

16500,70,339.232,0.0003939692,1

16600,70,359.181,0.0003939692,1

16700,70,337.62,0.0003939692,1

16800,70,338.816,0.0003939692,1

16900,70,340.397,0.0003939692,1

17000,70,335.531,0.0003939692,1

17100,70,343.052,0.0003939692,1

17200,70,355.782,0.0003939692,1

17300,70,340.794,0.0003939692,1

17400,70,344.113,0.0003939692,1

17500,70,344.085,0.0003939692,1

17600,70,328.414,0.0003939692,1

17700,70,330.885,0.0003939692,1

17800,70,342.244,0.0003939692,1

17900,70,341.608,0.0003939692,1

18000,70,343.265,0.0003939692,1

18100,70,341.262,0.0003939692,1

18200,70,343,0.0003939692,1

18300,70,348.34,0.0003939692,1

18400,70,343.658,0.0003939692,1

18500,70,352.274,0.0003939692,1

18600,70,346.865,0.0003939692,1

18700,70,348.601,0.0003939692,1

18800,70,327.158,0.0003939692,1

18900,70,346.407,0.0003939692,1

19000,70,332.036,0.0003939692,1

19100,70,341.529,0.0003939692,1

19200,70,344.396,0.0003939692,1

19300,70,337.192,0.0003939692,1

19400,70,345.887,0.0003939692,1

19500,70,342.878,0.0003939692,1

19600,70,348.961,0.0003939692,1

19700,70,333.4,0.0003939692,1

19800,70,341.293,0.0003939692,1

19900,70,339.503,0.0003939692,1

20000,70,355.793,0.0003939692,1

