Ncache,Chunck,Time,Error,Prob
10100,90,340.534,0.0003939692,1

10200,90,346.345,0.0003939692,1

10300,90,329.659,0.0003939692,1

10400,90,339.306,0.0003939692,1

10500,90,330.653,0.0003939692,1

10600,90,341.511,0.0003939692,1

10700,90,349.775,0.0003939692,1

10800,90,343.548,0.0003939692,1

10900,90,330.504,0.0003939692,1

11000,90,342.644,0.0003939692,1

11100,90,340.151,0.0003939692,1

11200,90,345.889,0.0003939692,1

11300,90,336.604,0.0003939692,1

11400,90,339.513,0.0003939692,1

11500,90,345.449,0.0003939692,1

11600,90,336.095,0.0003939692,1

11700,90,341.71,0.0003939692,1

11800,90,334.666,0.0003939692,1

11900,90,338.981,0.0003939692,1

12000,90,341.55,0.0003939692,1

12100,90,332.484,0.0003939692,1

12200,90,353.708,0.0003939692,1

12300,90,333.898,0.0003939692,1

12400,90,346.913,0.0003939692,1

12500,90,343.544,0.0003939692,1

12600,90,335.355,0.0003939692,1

12700,90,337.532,0.0003939692,1

12800,90,326.633,0.0003939692,1

12900,90,354.349,0.0003939692,1

13000,90,339.776,0.0003939692,1

13100,90,335.536,0.0003939692,1

13200,90,336.143,0.0003939692,1

13300,90,359.452,0.0003939692,1

13400,90,347.207,0.0003939692,1

13500,90,337.129,0.0003939692,1

13600,90,350.036,0.0003939692,1

13700,90,343.455,0.0003939692,1

13800,90,342.587,0.0003939692,1

13900,90,334.782,0.0003939692,1

14000,90,347.926,0.0003939692,1

14100,90,336.269,0.0003939692,1

14200,90,344.605,0.0003939692,1

14300,90,416.485,0.0003939692,1

14400,90,333.659,0.0003939692,1

14500,90,342.574,0.0003939692,1

14600,90,345.046,0.0003939692,1

14700,90,346.355,0.0003939692,1

14800,90,350.469,0.0003939692,1

14900,90,328.81,0.0003939692,1

15000,90,332.858,0.0003939692,1

15100,90,349.59,0.0003939692,1

15200,90,347.621,0.0003939692,1

15300,90,343.817,0.0003939692,1

15400,90,346.431,0.0003939692,1

15500,90,339.94,0.0003939692,1

15600,90,344.095,0.0003939692,1

15700,90,332.42,0.0003939692,1

15800,90,338.645,0.0003939692,1

15900,90,338.768,0.0003939692,1

16000,90,350.663,0.0003939692,1

16100,90,331.593,0.0003939692,1

16200,90,341.11,0.0003939692,1

16300,90,346.068,0.0003939692,1

16400,90,340.326,0.0003939692,1

16500,90,361.509,0.0003939692,1

16600,90,337.097,0.0003939692,1

16700,90,338.122,0.0003939692,1

16800,90,350.538,0.0003939692,1

16900,90,336.752,0.0003939692,1

17000,90,329.576,0.0003939692,1

17100,90,348.276,0.0003939692,1

17200,90,343.557,0.0003939692,1

17300,90,344.796,0.0003939692,1

17400,90,339.832,0.0003939692,1

17500,90,355.776,0.0003939692,1

17600,90,342.408,0.0003939692,1

17700,90,345.236,0.0003939692,1

17800,90,340.992,0.0003939692,1

17900,90,339.049,0.0003939692,1

18000,90,346.539,0.0003939692,1

18100,90,345.49,0.0003939692,1

18200,90,342.551,0.0003939692,1

18300,90,346.52,0.0003939692,1

18400,90,347.833,0.0003939692,1

18500,90,347.119,0.0003939692,1

18600,90,340.32,0.0003939692,1

18700,90,335.696,0.0003939692,1

18800,90,340.383,0.0003939692,1

18900,90,345.821,0.0003939692,1

19000,90,331.079,0.0003939692,1

19100,90,336.872,0.0003939692,1

19200,90,349.408,0.0003939692,1

19300,90,346.297,0.0003939692,1

19400,90,351.269,0.0003939692,1

19500,90,335.788,0.0003939692,1

19600,90,346.896,0.0003939692,1

19700,90,333.961,0.0003939692,1

19800,90,349.156,0.0003939692,1

19900,90,341.102,0.0003939692,1

20000,90,336.157,0.0003939692,1

