Ncache,Chunck,Time,Error,Prob
10100,10,339.699,0.0003939692,1

10200,10,344.223,0.0003939692,1

10300,10,340.98,0.0003939692,1

10400,10,337.413,0.0003939692,1

10500,10,347.125,0.0003939692,1

10600,10,327.879,0.0003939692,1

10700,10,332.493,0.0003939692,1

10800,10,343.986,0.0003939692,1

10900,10,350.744,0.0003939692,1

11000,10,348.331,0.0003939692,1

11100,10,330.555,0.0003939692,1

11200,10,342.205,0.0003939692,1

11300,10,342.747,0.0003939692,1

11400,10,328.752,0.0003939692,1

11500,10,340.17,0.0003939692,1

11600,10,331.943,0.0003939692,1

11700,10,350.345,0.0003939692,1

11800,10,329.545,0.0003939692,1

11900,10,341.737,0.0003939692,1

12000,10,342.75,0.0003939692,1

12100,10,330.924,0.0003939692,1

12200,10,339.973,0.0003939692,1

12300,10,338.37,0.0003939692,1

12400,10,345.161,0.0003939692,1

12500,10,336.897,0.0003939692,1

12600,10,326.031,0.0003939692,1

12700,10,344.137,0.0003939692,1

12800,10,342.6,0.0003939692,1

12900,10,340.46,0.0003939692,1

13000,10,345.517,0.0003939692,1

13100,10,334.994,0.0003939692,1

13200,10,342.755,0.0003939692,1

13300,10,344.69,0.0003939692,1

13400,10,347.785,0.0003939692,1

13500,10,353.373,0.0003939692,1

13600,10,352.586,0.0003939692,1

13700,10,346.303,0.0003939692,1

13800,10,340.417,0.0003939692,1

13900,10,359.786,0.0003939692,1

14000,10,343.892,0.0003939692,1

14100,10,339.676,0.0003939692,1

14200,10,343.185,0.0003939692,1

14300,10,336.072,0.0003939692,1

14400,10,335.91,0.0003939692,1

14500,10,344.707,0.0003939692,1

14600,10,339.434,0.0003939692,1

14700,10,347.302,0.0003939692,1

14800,10,336.364,0.0003939692,1

14900,10,346.11,0.0003939692,1

15000,10,335.323,0.0003939692,1

15100,10,349.486,0.0003939692,1

15200,10,347.171,0.0003939692,1

15300,10,342.072,0.0003939692,1

15400,10,330.178,0.0003939692,1

15500,10,358.425,0.0003939692,1

15600,10,340.191,0.0003939692,1

15700,10,343.654,0.0003939692,1

15800,10,345.635,0.0003939692,1

15900,10,347.893,0.0003939692,1

16000,10,338.919,0.0003939692,1

16100,10,337.033,0.0003939692,1

16200,10,334.319,0.0003939692,1

16300,10,343.744,0.0003939692,1

16400,10,338.948,0.0003939692,1

16500,10,355.803,0.0003939692,1

16600,10,352.502,0.0003939692,1

16700,10,347.507,0.0003939692,1

16800,10,355.583,0.0003939692,1

16900,10,336.665,0.0003939692,1

17000,10,342.048,0.0003939692,1

17100,10,335.211,0.0003939692,1

17200,10,352.835,0.0003939692,1

17300,10,346.434,0.0003939692,1

17400,10,338.955,0.0003939692,1

17500,10,351.91,0.0003939692,1

17600,10,336.567,0.0003939692,1

17700,10,338.953,0.0003939692,1

17800,10,336.077,0.0003939692,1

17900,10,348.033,0.0003939692,1

18000,10,343.06,0.0003939692,1

18100,10,351.378,0.0003939692,1

18200,10,334.985,0.0003939692,1

18300,10,337.943,0.0003939692,1

18400,10,336.945,0.0003939692,1

18500,10,335.535,0.0003939692,1

18600,10,336.126,0.0003939692,1

18700,10,344.607,0.0003939692,1

18800,10,339.575,0.0003939692,1

18900,10,341.539,0.0003939692,1

19000,10,338.001,0.0003939692,1

19100,10,344.584,0.0003939692,1

19200,10,343.222,0.0003939692,1

19300,10,343.234,0.0003939692,1

19400,10,354.048,0.0003939692,1

19500,10,352.46,0.0003939692,1

19600,10,342.107,0.0003939692,1

19700,10,346.968,0.0003939692,1

19800,10,338.19,0.0003939692,1

19900,10,342.267,0.0003939692,1

20000,10,340.696,0.0003939692,1

